B1NN=Cc2ccccc21 aaa
O=C1NC2(CCNCC2)Nc2ncccc21 cxM
O=C1NC2(CCNCC2)Oc2ccccc21 cxN
O=C1NC2(CCNCC2)c2ccccc21 cxO
O=C1NC2(CCOCC2)Nc2c1sc1ccccc21 cxP
O=C1NC2(CCOCC2)Nc2ccccc21 cxQ
O=C1NC2(CCOCC2)c2[nH]ccc21 cxR
O=C1NC2(CC[CH]CC2)NC12CCCCC2 cxS
O=C1NC2(CC[CH]CC2)Nc2ccccc21 cxT
O=C1NC2(CNC2)Cc2[nH]c3c(c21)CCc1cnccc1-3 cxU
O=C1NC2(CNc3ccccc32)Nc2ccccc21 cxV
O=C1NC2(C[CH]CCC2)Nc2ccccc21 cxW
O=C1NC2(C[CH]OCC2)NC12CCCCC2 cxX
O=C1NC2(C[CH]OCC2)Nc2c1sc1ccccc21 cxY
O=C1NC2(C[CH]OCC2)Nc2ccccc21 cxZ
O=C1NC2(C[CH]O[CH]C2)Nc2ccccc21 cya
O=C1NC2(Cc3ccccc31)NC(=O)c1ccccc12 cyb
O=C1NC2(Cc3ccccc3C2)Nc2ccccc21 cyc
O=C1NC2(Cc3cnnc31)CC1CCC(C2)N1 cyd
O=C1NC2(Nc3c1sc1ccccc31)C(=O)Nc1ccccc12 cye
O=C1NC2(Nc3c[nH]nc31)C(=O)Nc1ccccc12 cyf
O=C1NC2(Nc3ccccc31)C(=O)Nc1ccccc12 cyg
O=C1NC2(Nc3sc4c(c31)CCCC4)C(=O)Nc1ccccc12 cyh
O=C1NC2(OC(=O)c3cc4c(cc32)OCO4)C(=O)c2ccccc21 cyi
O=C1NC2(Oc3ccccc31)C(=O)Nc1ccccc12 cyj
O=C1NC2([CH]CCCC2)Cc2ccccc21 cyk
O=C1NC2([CH]CNC2)Cc2ccccc21 cyl
O=C1NC2([CH]O1)C=Cc1c(ccc3ccccc13)O2 cym
O=C1NC2([CH]O1)C=Cc1ccccc1O2 cyn
O=C1NC2([CH]O2)C(=O)Nc2ccccc21 cyo
O=C1NC2([CH]c3ccccc31)CCCC2 cyp
O=C1NC2(c3ccccc3Oc3ccccc32)c2ccccc21 cyq
O=C1NC23C=NC(O2)c2ccccc2N3C1=O cyr
O=C1NC2=C([CH]NC=N2)C12CCCC2 cys
O=C1NC2=C([CH]O1)CCCC2 cyt
O=C1NC2=CC=CC3=CC=CC1C32 cyu
O=C1NC2=CC=CCC2N1 cyv
O=C1NC2=CCC(=O)N2c2ccccc21 cyw
O=C1NC2=Cc3ccccc3CN2c2sccc21 cyx
O=C1NC2=NC3(CCC3)CN2c2ncnc21 cyy
O=C1NC2=NC3(CCCC3)CN2C2=C1N[CH]N2 cyz
O=C1NC2=NC3(CCCC3)CN2c2nc[nH]c21 cyA
O=C1NC2=NC3(CCCC3)CN2c2ncnc21 cyB
O=C1NC2=NC3(CCc4ccccc43)CN2c2ncnc21 cyC
O=C1NC2=NC3CCCC3N2C2N=CNC12 cyD
O=C1NC2=NC3CCCC3N2C2NNC=C12 cyE
O=C1NC2=NC3CCCC3N2c2[nH]cnc21 cyF
O=C1NC2=NC3CCCC3N2c2nc[nH]c21 cyG
O=C1NC2=NC3CCCC3N2c2ncnc21 cyH
O=C1NC2=NC3CCCC3N2c2nncc21 cyI
O=C1NC2=NC=NC(=O)C2N1 cyJ
O=C1NC2=NC=N[CH]N2c2ccccc21 cyK
O=C1NC2=NCCCN2c2nncc21 cyL
O=C1NC2=NCCN2c2ccccc21 cyM
O=C1NC2=NCCN2c2ncnc21 cyN
O=C1NC2=NCCN2c2nncc21 cyO
O=C1NC2=NC[CH]CN2c2nncc21 cyP
O=C1NC2=NC[CH]N2c2nncc21 cyQ
O=C1NC2=NN=CCN2NC12c1ccccc1-c1ccccc12 cyR
O=C1NC2=N[CH]CN2C2N=CNC12 cyS
O=C1NC2=N[CH]CN2c2nc[nH]c21 cyT
O=C1NC2=N[CH]CN2c2ncnc21 cyU
O=C1NC2=N[CH]CN2c2nncc21 cyV
O=C1NC2=Nc3ccccc3CC2N1 cyW
O=C1NC2=Nc3ccccc3CN2C12CC2 cyX
O=C1NC2=Nc3ccccc3CN2C1=O cyY
O=C1NC2=Nc3ccccc3CN2N1 cyZ
O=C1NC2C(=COC3C=CCCC32)C1=O cza
O=C1NC2C(=O)NC(=O)C2N1 czb
O=C1NC2C(=O)c3ccccc3C2N1 czc
O=C1NC2C(=O)c3ccccc3C2O1 czd
O=C1NC2C(=O)c3cscc3C2N1 cze
O=C1NC2C(=O)c3cscc3C2O1 czf
O=C1NC2C34[CH]CCC1C3[CH]C21OCOC12C[CH]C1[CH]C2C4C1 czg
O=C1NC2C3C=CC(CC3)C2C1=O czh
O=C1NC2C3CCC(C3)C12 czi
O=C1NC2C3[CH]C4C1CC[CH]C42C1CC2[CH]CC3C1[CH]2 czj
O=C1NC2C3[CH]CC2C(O1)O3 czk
O=C1NC2C=CC1C1C(=O)NC(=O)C21 czl
O=C1NC2C=CC1CC2=O czm
O=C1NC2C=CC=CC2O1 czn
O=C1NC2C=CNC=C2C(=O)N2CCCC12 czo
O=C1NC2CC(N1)c1ccccc1O2 czp
O=C1NC2CC1C1O[CH]OC21 czq
O=C1NC2CC2C=CCCCCC[CH]C(=O)N2CNCC12 czr
O=C1NC2CC2C=CCCCCC[CH]C(=O)N2C[CH]CC12 czs
O=C1NC2CC2C=CCCCC[CH]C(=O)N2C[CH]CC12 czt
O=C1NC2CC2C=CCCCOC[CH]C(=O)N2C[CH]CC12 czu
O=C1NC2CC2C=CCCCO[CH][CH]C(=O)N2C[CH]CC12 czv
O=C1NC2CC2C=CCCNCC[CH]C(=O)N2C[CH]CC12 czw
O=C1NC2CC2C=CCCOCC[CH]C(=O)N2C[CH]CC12 czx
O=C1NC2CC2C=CCC[CH]CC[CH]C(=O)N2C[CH]CC12 czy
O=C1NC2CC2C=CCC[CH]C[CH][CH]C(=O)N2C[CH]CC12 czz
O=C1NC2CC2C=CCC[CH]O[CH][CH]C(=O)N2C[CH]CC12 czA
O=C1NC2CC2C=CCOCCC[CH]C(=O)N2C[CH]CC12 czB
O=C1NC2CC2C=CC[CH]CCC[CH]C(=O)N2C[CH]CC12 czC
O=C1NC2CC2CCCCCCC[CH]C(=O)N2C[CH]CC12 czD
O=C1NC2CC2CCCCCC[CH]C(=O)N2C[CH]CC12 czE
O=C1NC2CC2CCCCCOC[CH]C(=O)N2C[CH]CC12 czF
O=C1NC2CC2CCCCOCC[CH]C(=O)N2C[CH]CC12 czG
O=C1NC2CC2CCCC[CH]CC[CH]C(=O)N2C[CH]CC12 czH
O=C1NC2CC2CCCOCCC[CH]C(=O)N2C[CH]CC12 czI
O=C1NC2CC2CCC[CH]CCC[CH]C(=O)N2C[CH]CC12 czJ
O=C1NC2CC2N1 czK
O=C1NC2CC3CCCC13S2 czL
O=C1NC2CC3CCCCC13S2 czM
O=C1NC2CC=CC2Nc2ccccc21 czN
O=C1NC2CCC(=O)N2c2c1sc1ncc3c(c21)CCCC3 czO
O=C1NC2CCC(=O)N2c2ccccc21 czP
O=C1NC2CCC1C2 czQ
O=C1NC2CCC1CNC2 czR
O=C1NC2CCC3C4CCC[CH]C4CCC3C2CO1 czS
O=C1NC2CCC3C4CC[CH]C4CCC3C2C2CC12 czT
O=C1NC2CCC3C4CC[CH]C4CCC3C2C2OC12 czU
O=C1NC2CCCC12 czV
O=C1NC2CCCC1CNC2 czW
O=C1NC2CCCC2N1 czX
O=C1NC2CCCC2O1 czY
O=C1NC2CCCCC2N1 czZ
O=C1NC2CCCCC2O1 cAa
O=C1NC2CCCCC2c2ccccc21 cAb
O=C1NC2CCCCCC12 cAc
O=C1NC2CCCCCC2N1 cAd
O=C1NC2CCCCN2C12CCNCC2 cAe
O=C1NC2CCCNC12 cAf
O=C1NC2CCCc3ccccc3C2O1 cAg
O=C1NC2CCCc3cccnc3C2O1 cAh
O=C1NC2CCNC12 cAi
O=C1NC2CCNC1C2 cAj
O=C1NC2CCNCC2N1 cAk
O=C1NC2CCNCCC2O1 cAl
O=C1NC2CCOCC2O1 cAm
O=C1NC2CC[CH]N1C2 cAn
O=C1NC2CC[CH]OC2COc2ccccc21 cAo
O=C1NC2CNC1C2 cAp
O=C1NC2CNCC2C(=O)c2ccccc21 cAq
O=C1NC2CNCC2O1 cAr
O=C1NC2CNCN2O1 cAs
O=C1NC2CS(=O)(=O)CC2N1 cAt
O=C1NC2CSCC2N1 cAu
O=C1NC2C[CH]C1C(=O)N2 cAv
O=C1NC2C[CH]N1c1ccccc12 cAw
O=C1NC2C[CH]SC2N1 cAx
O=C1NC2C[CH][CH]C1C2 cAy
O=C1NC2C[CH][CH][CH]CC2N1 cAz
O=C1NC2C[S+]3CCCC3C2N1 cAA
O=C1NC2N=C3SC4=C(C(=O)c5ccccc5C4=O)N3NC2N1 cAB
O=C1NC2NC(=O)N3CNCN1C23 cAC
O=C1NC2NC(=O)NC2N1 cAD
O=C1NC2NCCNC2N1 cAE
O=C1NC2Nc3ccccc3NC2N1 cAF
O=C1NC2OC1C1C(=O)NC(=O)C21 cAG
O=C1NC2OC3[CH]C4CC3C2C14 cAH
O=C1NC2ON=CC2C2ON=CN12 cAI
O=C1NC2O[CH][CH]C2O1 cAJ
O=C1NC2O[CH][CH][CH]C2O1 cAK
O=C1NC2SC1C1C(=O)NC(=O)C21 cAL
O=C1NC2SCc3ccccc3CSC1NC2=O cAM
O=C1NC2[CH]C(N1)c1ccccc1O2 cAN
O=C1NC2[CH]C([CH][CH]O2)O1 cAO
O=C1NC2[CH]C=C3CCNC3C2c2cc3c(cc21)OCO3 cAP
O=C1NC2[CH]CC1C=C2 cAQ
O=C1NC2[CH]CC1[CH]C2 cAR
O=C1NC2[CH]CC2C1=O cAS
O=C1NC2[CH]CC=CC2c2cc3c(cc21)OCO3 cAT
O=C1NC2[CH]CNC12 cAU
O=C1NC2[CH]SCC2N1 cAV
O=C1NC2[CH][CH]C1CC2=O cAW
O=C1NC2[CH][CH]C1C[CH]2 cAX
O=C1NC2[CH][CH][CH]C=C2c2cc3c(cc21)OCO3 cAY
O=C1NC2[CH][CH][CH]CC2c2cc3c(cc21)OCO3 cAZ
O=C1NC2[CH][CH][CH][CH]C2c2cc3c(cc21)OCO3 cBa
O=C1NC2c3c(ccc4ccccc34)CC2c2ccccc21 cBb
O=C1NC2c3cc4c(cc3C(=O)C2c2ccccc21)OCO4 cBc
O=C1NC2c3cc4c(cc3CC2c2ccccc21)OCO4 cBd
O=C1NC2c3cc4c(cc3C[CH]C2c2ccc3c(c21)OCO3)OCO4 cBe
O=C1NC2c3cc4ccccc4cc3CC2c2ccccc21 cBf
O=C1NC2c3ccccc3C(=O)C2O1 cBg
O=C1NC2c3ccccc3C(=O)C2c2ccccc21 cBh
O=C1NC2c3ccccc3C(=O)N2c2ccccc21 cBi
O=C1NC2c3ccccc3C(=O)N2c2cnnc21 cBj
O=C1NC2c3ccccc3C(=O)N2c2nncc21 cBk
O=C1NC2c3ccccc3CC2O1 cBl
O=C1NC2c3ccccc3CC2c2ccccc21 cBm
O=C1NC2c3ccccc3CCC12 cBn
O=C1NC2c3cscc3C(=O)C2O1 cBo
O=C1NC2c3sccc3CC2c2ccccc21 cBp
O=C1NC=C2C(=O)NC=C12 cBq
O=C1NC=C2C(=O)c3ccccc3C2N1 cBr
O=C1NC=CC12CCNCC2 cBs
O=C1NC=CC12c1ccccc1-c1ocnc12 cBt
O=C1NC=CC12c1ccccc1CC21CC[CH]CC1 cBu
O=C1NC=CC1=P cBv
O=C1NC=CC2CCCN12 cBw
O=C1NC=CC2CC[CH]N12 cBx
O=C1NC=CC=Cc2ccccc21 cBy
O=C1NC=CCC12CCCNC2 cBz
O=C1NC=CCN1 cBA
O=C1NC=COc2ccccc21 cBB
O=C1NC=CSSC=CNC1=O cBC
O=C1NC=C[CH]c2ccccc21 cBD
O=C1NC=C[CH]c2ncccc21 cBE
O=C1NC=Cc2ccccc2C(=O)c2ccccc21 cBF
O=C1NC=NC12C1CC3CC(C1)CC2C3 cBG
O=C1NC=NC12CC1(CC=CC1)c1ccccc12 cBH
O=C1NC=NC12CC2 cBI
O=C1NC=NC12CCC1CNCC12 cBJ
O=C1NC=NC12CCC2 cBK
O=C1NC=NC12CCCC2 cBL
O=C1NC=NC12CCCCC2 cBM
O=C1NC=NC12CCCCCC2 cBN
O=C1NC=NC12CCCCCCCCCC2 cBO
O=C1NC=NC12CCNCC2 cBP
O=C1NC=NC12CCOC2 cBQ
O=C1NC=NC12CCOCC2 cBR
O=C1NC=NC12CC[CH]CC2 cBS
O=C1NC=NC12CNC2 cBT
O=C1NC=NC12C[CH]Cc1ccccc12 cBU
O=C1NC=NC12C[CH]Oc1ccccc12 cBV
O=C1NC=NC12C[CH]Sc1ccccc12 cBW
O=C1NC=NC12C[CH][CH]c1ccccc12 cBX
O=C1NC=NC12Cc1ccccc1C2 cBY
O=C1NC=NC12c1ccccc1CC1CCOCC12 cBZ
O=C1NC=NC12c1ccccc1CC21CC[CH]CC1 cCa
O=C1NC=NC12c1ccccc1CC21CCc2ccccc2CC1 cCb
O=C1NC=NC12c1ccccc1CC21CCc2nocc2C1 cCc
O=C1NC=NC12c1ccccc1CC21CNC1 cCd
O=C1NC=NC12c1ccccc1CC21Cc2cnncc2C1 cCe
O=C1NC=NC12c1ccccc1OC1CCOCC12 cCf
O=C1NC=NC12c1ccccc1OC1CCO[CH]C12 cCg
O=C1NC=NC12c1ccccc1OC21CCNCC1 cCh
O=C1NC=NC12c1ccccc1OC21CC[CH]CC1 cCi
O=C1NC=NC12c1ccccc1OC21CCc2ccccc2CC1 cCj
O=C1NC=NC12c1ccccc1[CH]C21CC[CH]CC1 cCk
O=C1NC=NC2=CC=CC3O[CH]CC123 cCl
O=C1NC=NC2CNCC12 cCm
O=C1NC=NC2CSCC12 cCn
O=C1NC=NC2[CH]N3CCCC3=C12 cCo
O=C1NC=NC2c3ccccc3NC12 cCp
O=C1NC=NC2c3ccccc3SC12 cCq
O=C1NC=NC=NN1 cCr
O=C1NC=NCN1 cCs
O=C1NC=NN2C=N[CH]C12 cCt
O=C1NC=NNC12c1ccccc1-c1ccccc12 cCu
O=C1NC=NNc2ccccc21 cCv
O=C1NC=NOC12CCC2 cCw
O=C1NCC(=O)N2C1[CH]C1COc3ccccc3C12 cCx
O=C1NCC(=O)N2CC=CC=C12 cCy
O=C1NCC(=O)N2CCCC12 cCz
O=C1NCC(=O)N2CCCC=C12 cCA
O=C1NCC(=O)N2CCCCC12 cCB
O=C1NCC(=O)N2CCNCC12 cCC
O=C1NCC(=O)N2CC[CH]C12 cCD
O=C1NCC(=O)N2CCc3c([nH]c4ccccc34)C12 cCE
O=C1NCC(=O)N2CSCC12 cCF
O=C1NCC(=O)N2C[CH]CC12 cCG
O=C1NCC(=O)N2Cc3ccccc3CC12 cCH
O=C1NCC(=O)N2[CH]c3[nH]c4ccccc4c3CC12 cCI
O=C1NCC(=O)N2[CH]c3[nH]c4ncccc4c3CC12 cCJ
O=C1NCC(=O)N2[CH]c3nc4ccccc4c3CC12 cCK
O=C1NCC(=O)n2cccc21 cCL
O=C1NCC(=S)N1 cCM
O=C1NCC12CCCCC2 cCN
O=C1NCC12CCNCC2 cCO
O=C1NCC2(CC2)Cn2c1cc1ccccc12 cCP
O=C1NCC2(CC2)N1 cCQ
O=C1NCC2(CC2)O1 cCR
O=C1NCC2(CC2)c2[nH]c3c(c21)CCc1cnccc1-3 cCS
O=C1NCC2(CC2)c2[nH]c3c(c21)CCc1cncnc1-3 cCT
O=C1NCC2(CC2)c2[nH]ccc21 cCU
O=C1NCC2(CC3CCC(C2)N3)O1 cCV
O=C1NCC2(CC3[CH]C2CC3)O1 cCW
O=C1NCC2(CCC2)Cn2c1cc1ccccc12 cCX
O=C1NCC2(CCC2)O1 cCY
O=C1NCC2(CCC2)c2c1[nH]c1ccccc21 cCZ
O=C1NCC2(CCC3C(CCC4C5CCC(=O)C5CCC34)C2)O1 cDa
O=C1NCC2(CCC3C(CCC4C5C[CH]C(=O)C5CCC34)C2)O1 cDb
O=C1NCC2(CCCC2)N1 cDc
O=C1NCC2(CCCC2)O1 cDd
O=C1NCC2(CCCC2)c2ccccc21 cDe
O=C1NCC2(CCCC2)n2c1cc1cncnc12 cDf
O=C1NCC2(CCCCC2)O1 cDg
O=C1NCC2(CCCCC2)c2ccccc21 cDh
O=C1NCC2(CCCCC2)n2c1cc1cncnc12 cDi
O=C1NCC2(CCCNC2)O1 cDj
O=C1NCC2(CCCNC2)Oc2ccccc21 cDk
O=C1NCC2(CCCNC2)c2[nH]ccc21 cDl
O=C1NCC2(CCCNCC2)O1 cDm
O=C1NCC2(CCNC2)O1 cDn
O=C1NCC2(CCNC2)c2[nH]ccc21 cDo
O=C1NCC2(CCNCC2)Cn2c1cc1ccccc12 cDp
O=C1NCC2(CCNCC2)N1 cDq
O=C1NCC2(CCNCC2)O1 cDr
O=C1NCC2(CCNCC2)Oc2ccccc21 cDs
O=C1NCC2(CCNCC2)c2[nH]c3c(c21)CCc1cnccc1-3 cDt
O=C1NCC2(CCNCC2)c2[nH]ccc21 cDu
O=C1NCC2(CCNCC2)c2ccccc21 cDv
O=C1NCC2(CCOCC2)Cn2c1cc1ccccc12 cDw
O=C1NCC2(CCOCC2)O1 cDx
O=C1NCC2(CCOCC2)Oc2ccccc21 cDy
O=C1NCC2(CCOCC2)c2[nH]ccc21 cDz
O=C1NCC2(CCOc3ccccc32)N1 cDA
O=C1NCC2(CC[CH]CC2)O1 cDB
O=C1NCC2(CC[CH]CC2)Oc2ccccc21 cDC
O=C1NCC2(CCc3ccccc32)N1 cDD
O=C1NCC2(CNC2)O1 cDE
O=C1NCC2(CNC2)Oc2ccccc21 cDF
O=C1NCC2(CNC2)c2[nH]c3c(c21)CCc1cnccc1-3 cDG
O=C1NCC2(CNC2)c2[nH]c3c(c21)CCc1cncnc1-3 cDH
O=C1NCC2(CNC2)c2[nH]c3c(c21)Cc1cnccc1-3 cDI
O=C1NCC2(CNC2)c2nc3c(c21)CCc1cnccc1-3 cDJ
O=C1NCC2(CNC2)c2oc3c(c21)CCc1cnccc1-3 cDK
O=C1NCC2(O1)c1ccccc1-c1ccccc12 cDL
O=C1NCC2(OCC3O[CH]OC3C2=O)O1 cDM
O=C1NCC2([CH]CNCC2)O1 cDN
O=C1NCC23C=CC([CH]C12)O3 cDO
O=C1NCC23CCC([CH]C12)O3 cDP
O=C1NCC23CCC4C5CC[CH]CC5=CCC4C2CCC13 cDQ
O=C1NCC2=C(N1)c1ccccc1CC2 cDR
O=C1NCC2=C1CCC1c3ccccc3CCN21 cDS
O=C1NCC2=C1CCCC2 cDT
O=C1NCC2=C1[CH]C1=C(CCCS1(=O)=O)N2 cDU
O=C1NCC2=C1[CH]C1=C(CCS1(=O)=O)N2 cDV
O=C1NCC2=C1[CH]C1=C(CNC1=O)N2 cDW
O=C1NCC2=C1[CH]C1=CCCC1=N2 cDX
O=C1NCC2=C1[CH]C1=CCCCC1=N2 cDY
O=C1NCC2=C1[CH]C1=CCOCC1=N2 cDZ
O=C1NCC2=C1[CH]C1=COCC1=N2 cEa
O=C1NCC2=C1[CH]Nc1ccccc1N2 cEb
O=C1NCC2=C1[CH]c1c(nc(=O)[nH]c1=O)N2 cEc
O=C1NCC2C(CCC3C4CCC[CH]C4CCC23)N1 cEd
O=C1NCC2CC12 cEe
O=C1NCC2CC=CCC12 cEf
O=C1NCC2CCC12 cEg
O=C1NCC2CCC1N2 cEh
O=C1NCC2CCCC12 cEi
O=C1NCC2CCCC2O1 cEj
O=C1NCC2CCCCC12 cEk
O=C1NCC2CCCCN12 cEl
O=C1NCC2CCCN12 cEm
O=C1NCC2CCCc3cccc1c32 cEn
O=C1NCC2CCNCC2Oc2ccccc21 cEo
O=C1NCC2CCOC12 cEp
O=C1NCC2CC[CH]CN12 cEq
O=C1NCC2CNCC12 cEr
O=C1NCC2CNCCC2Oc2ccccc21 cEs
O=C1NCC2CNCCN12 cEt
O=C1NCC2CNCCN2C1=O cEu
O=C1NCC2COC=CC12 cEv
O=C1NCC2COCC12 cEw
O=C1NCC2COCCC12 cEx
O=C1NCC2COCOC12 cEy
O=C1NCC2C[CH]CC12 cEz
O=C1NCC2C[CH]CN12 cEA
O=C1NCC2C[CH]N3CCCC123 cEB
O=C1NCC2Cc3c([nH]c4ccccc34)[CH]N12 cEC
O=C1NCC2NC1C1C(=O)NC(=O)C21 cED
O=C1NCC2NCCCC12 cEE
O=C1NCC2NCCc3cccc1c32 cEF
O=C1NCC2NO[CH]C12 cEG
O=C1NCC2OCCC12 cEH
O=C1NCC2O[CH]C1O2 cEI
O=C1NCC2c3ccccc3CC3C(=CCC4C(=O)NC(=O)C43)CC12 cEJ
O=C1NCC=CCNCc2cccc(c2)Nc2nccc(n2)-c2cccc1c2 cEK
O=C1NCC=Cc2c1ncc1ccccc21 cEL
O=C1NCC=NN1 cEM
O=C1NCCC12C(=O)Nc1ccccc12 cEN
O=C1NCCC12CC1CCC(C2)N1 cEO
O=C1NCCC12CCCCC2 cEP
O=C1NCCC12CCCN2 cEQ
O=C1NCCC12CCCNC2 cER
O=C1NCCC12CCNC2 cES
O=C1NCCC12CCNCC2 cET
O=C1NCCC12CCOCC2 cEU
O=C1NCCC12CC[CH]CC2 cEV
O=C1NCCC12CNCC21CCNCC1 cEW
O=C1NCCC12[CH]C=CCC2 cEX
O=C1NCCC12[CH]CNC2 cEY
O=C1NCCC12[CH]CNCC2 cEZ
O=C1NCCC12[CH][CH][CH]O2 cFa
O=C1NCCC2(CC=CC2)O1 cFb
O=C1NCCC2(CCC3(CC2)OC[CH]CO3)O1 cFc
O=C1NCCC2(CCCC3(C2)OCCO3)O1 cFd
O=C1NCCC2(CCN3CCc4c(oc5ccccc45)C3C2)N1 cFe
O=C1NCCC2(CC[CH]CC2)N1 cFf
O=C1NCCC2(CC[CH]CC2)O1 cFg
O=C1NCCC2(C[CH]CC2)O1 cFh
O=C1NCCC2(C[CH]CCC2)O1 cFi
O=C1NCCC2(O1)C1CC3CC(C1)CC2C3 cFj
O=C1NCCC2=C1CNC1=NCCN12 cFk
O=C1NCCC2=C1[CH]C1=C(CCNC1=O)N2 cFl
O=C1NCCC2=C1[CH]C1=CCCC1=N2 cFm
O=C1NCCC2=C1[CH]C1=CCCCC1=N2 cFn
O=C1NCCC2=C1[CH]C1=CCOCC1=N2 cFo
O=C1NCCC2=C1[CH]C=CN2 cFp
O=C1NCCC2C1CCC1C3CC[CH]C3CCC21 cFq
O=C1NCCC2C=CC[CH]C12 cFr
O=C1NCCC2C=NNC12 cFs
O=C1NCCC2CC12 cFt
O=C1NCCC2CC[CH]CN12 cFu
O=C1NCCC2CNCC12 cFv
O=C1NCCC2CNCCC12 cFw
O=C1NCCC=CC[CH]c2cc(ccn2)-c2ccccc21 cFx
O=C1NCCCC12CC=NO2 cFy
O=C1NCCCC12CCCC2 cFz
O=C1NCCCC12CCCN2 cFA
O=C1NCCCC12CCCNC2 cFB
O=C1NCCCC12CCCNC2=O cFC
O=C1NCCCC12CCNC2 cFD
O=C1NCCCC12CCNCC2 cFE
O=C1NCCCC12C[CH]CNC2 cFF
O=C1NCCCC12[CH]C2 cFG
O=C1NCCCC12[CH]CCNC2 cFH
O=C1NCCCC2c3ccc4ccccc4c3OC12 cFI
O=C1NCCCC2c3ccc4occc4c3OC12 cFJ
O=C1NCCCC2c3ccccc3OC12 cFK
O=C1NCCCCC=CC2CC2NC(=O)C2C[CH]CC12 cFL
O=C1NCCCCC[CH]c2cc(ccn2)-c2ccccc21 cFM
O=C1NCCCCN1 cFN
O=C1NCCCC[CH]c2cc(ccn2)-c2ccccc21 cFO
O=C1NCCCN1 cFP
O=C1NCCCNCCCCCOc2ccccc21 cFQ
O=C1NCCCNCCOCCOc2ccccc21 cFR
O=C1NCCCO1 cFS
O=C1NCCC[CH]O1 cFT
O=C1NCCCc2[nH]ccc21 cFU
O=C1NCCCc2[nH]cnc21 cFV
O=C1NCCCc2c1ncc1ccccc21 cFW
O=C1NCCCc2c1oc1ccccc21 cFX
O=C1NCCCc2cc3ccccc3nc21 cFY
O=C1NCCCc2ccccc21 cFZ
O=C1NCCCc2ccncc21 cGa
O=C1NCCCc2ccsc21 cGb
O=C1NCCCc2nc3ccccc3c21 cGc
O=C1NCCCc2ncsc21 cGd
O=C1NCCCn2c1cc1ccccc12 cGe
O=C1NCCCn2c1cc1cccnc12 cGf
O=C1NCCCn2c1nc1ccccc12 cGg
O=C1NCCCn2cccc21 cGh
O=C1NCCCn2nccc21 cGi
O=C1NCCN1 cGj
O=C1NCCN2C(=O)N[CH]C=C12 cGk
O=C1NCCN2CCCC12 cGl
O=C1NCCN2CCCCC12 cGm
O=C1NCCN2CCNCC12 cGn
O=C1NCCN2[CH][CH]c3cccc1c32 cGo
O=C1NCCNC12CCNC2 cGp
O=C1NCCNC12CCNCC2 cGq
O=C1NCCNC1=O cGr
O=C1NCCNN1 cGs
O=C1NCCNc2c1cnc1ccccc21 cGt
O=C1NCCNc2c1sc1ccccc21 cGu
O=C1NCCNc2ccccc21 cGv
O=C1NCCNc2ccsc21 cGw
O=C1NCCNc2ncncc21 cGx
O=C1NCCO1 cGy
O=C1NCCOC12CCNCC2 cGz
O=C1NCCOC2CNCCC12 cGA
O=C1NCCOc2c1sc1ccccc21 cGB
O=C1NCCOc2ccccc21 cGC
O=C1NCCOc2cccnc21 cGD
O=C1NCCOc2ccncc21 cGE
O=C1NCCOc2cnccc21 cGF
O=C1NCCOc2ncccc21 cGG
O=C1NCCOc2ncncc21 cGH
O=C1NCCS1 cGI
O=C1NCCSc2c1sc1ccccc21 cGJ
O=C1NCCSc2ccccc21 cGK
O=C1NCCSc2sccc21 cGL
O=C1NCC[CH]O1 cGM
O=C1NCC[CH]OCCCC[CH]Oc2ccccc21 cGN
O=C1NCC[CH]Oc2ccccc21 cGO
O=C1NCC[CH]n2c1cc1ccccc12 cGP
O=C1NCC[CH]n2c1cc1cccnc12 cGQ
O=C1NCC[CH]n2c1nc1ccccc12 cGR
O=C1NCC[S+]c2c1sc1ccccc21 cGS
O=C1NCCc2[nH]c3c(c21)CCCc1cnccc1-3 cGT
O=C1NCCc2[nH]c3c(c21)CCc1cnccc1-3 cGU
O=C1NCCc2[nH]c3c(c21)CCc1cncnc1-3 cGV
O=C1NCCc2[nH]c3c(ccc4cnccc43)c21 cGW
O=C1NCCc2[nH]ccc21 cGX
O=C1NCCc2c1[nH]c1ccccc21 cGY
O=C1NCCc2c1cc(=O)n1c2C(=O)NC12CCC1CC12 cGZ
O=C1NCCc2c1cc(=O)n1c2C(=O)NC12CCC2 cHa
O=C1NCCc2c1cc(=O)n1c2C(=O)NC12CCCC2 cHb
O=C1NCCc2c1cc(=O)n1c2C(=O)NC12CCCCCC2 cHc
O=C1NCCc2c1cc(=O)n1c2C(=O)NC12CCc1ccccc12 cHd
O=C1NCCc2c1cc(=O)n1c2C(=O)NC12CCc1ccncc12 cHe
O=C1NCCc2c1cc(=O)n1c2C(=O)NC12CCc1ncccc12 cHf
O=C1NCCc2c1cc(=O)n1c2C(=O)NC12C[CH]CC2 cHg
O=C1NCCc2c1cc(=O)n1c2C(=O)NC12Cc1ccccc1C2 cHh
O=C1NCCc2c1cc(=O)n1c2C(=O)N[CH]1 cHi
O=C1NCCc2c1cc1n2CCCC1 cHj
O=C1NCCc2c1nc1ccccc21 cHk
O=C1NCCc2c1sc1c2CCCC1 cHl
O=C1NCCc2c1sc1c2C[CH]C1 cHm
O=C1NCCc2c1sc1ccccc21 cHn
O=C1NCCc2c3c(=O)c4ccccc4[n+]c-3nn21 cHo
O=C1NCCc2c[nH]c3cccc1c23 cHp
