B1NN=Cc2ccccc21 aaa
C1=CC2=Nc3ccccc3NC2C=C1 acv
C1=CC2=S(N1)Nc1c2sc2c1CCCC2 acw
C1=CC2=[N+]C=CC2N=C1 acx
C1=CC2C(O1)OC1CC2C2OC12 acy
C1=CC2C3CC1CN2CCc1c3[nH]c2ccccc12 acz
C1=CC2C=C3OCOC3=CC2=C2NC=c3c4c(ccc3=C12)OCO4 acA
C1=CC2C=CC1C2 acB
C1=CC2C=CC1O2 acC
C1=CC2C=CC=CC2C=C1 acD
C1=CC2C=CCN(C1)C2 acE
C1=CC2C=CCN2C1 acF
C1=CC2C=CN=C2N=C1 acG
C1=CC2C=CN=[N+]2C=C1 acH
C1=CC2C=CNC2C=C1 acI
C1=CC2C=CNC2N1 acJ
C1=CC2C=CNC2N=C1 acK
C1=CC2C=COC2C=C1 acL
C1=CC2C=COC2O1 acM
C1=CC2C=Cc3[nH]c4ccccc4c3CCN(C1)C2 acN
C1=CC2C=Cc3ccccc3NC2C=C1 acO
C1=CC2C=NC=NC2=C1 acP
C1=CC2C=NC=NC2C=C1 acQ
C1=CC2C=NC=NC2N1 acR
C1=CC2C=NC=NC2S1 acS
C1=CC2C=NNC2=C1 acT
C1=CC2C=NNC2C=C1 acU
C1=CC2C=NNC2N=C1 acV
C1=CC2C=NNC2S1 acW
C1=CC2C=c3ccccc3=CC2C=C1 acX
C1=CC2CC(C1)CCN2 acY
C1=CC2CC(C1)c1ccccc1O2 acZ
C1=CC2CC(N1)Oc1ccccc12 ada
C1=CC2CC(N1)c1ccccc12 adb
C1=CC2CC1C1C3CNC3C21 adc
C1=CC2CC1C1CNCC21 add
C1=CC2CC1C=N2 ade
C1=CC2CC1CN2 adf
C1=CC2CC1NO2 adg
C1=CC2CC1c1c[nH]cc12 adh
C1=CC2CC1c1ccc3ccccc3c12 adi
C1=CC2CC1c1ccccc12 adj
C1=CC2CC1c1cncc12 adk
C1=CC2CC3C=CC=CC3C2C=C1 adl
C1=CC2CC=C3Nc4ccccc4C34CCN(C1)C24 adm
C1=CC2CC=NOC2C=C1 adn
C1=CC2CCC(C1)C2 ado
C1=CC2CCC(C1)N2 adp
C1=CC2CCC(C1)O2 adq
C1=CC2CCC(C1)S2 adr
C1=CC2CCC(C1)[S+]2 ads
C1=CC2CCC(CC1)N2 adt
C1=CC2CCC1C1CNCC21 adu
C1=CC2CCC1C2 adv
C1=CC2CCC1CC2 adw
C1=CC2CCC1CN2 adx
C1=CC2CCC1N2 ady
C1=CC2CCC1NO2 adz
C1=CC2CCC1O2 adA
C1=CC2CCC1c1c[nH]cc12 adB
C1=CC2CCC1c1cncc12 adC
C1=CC2CCC3C(CCN4CCCCCC34)C2C1 adD
C1=CC2CCC3C4CCC5(CO5)CC4CCC3C2C1 adE
C1=CC2CCC3C4CCC=CC4=CCC3C2=C1 adF
C1=CC2CCC3C4CCCCC4=CCC3C2C1 adG
C1=CC2CCC3C4CCCCCC4CCC3C2C1 adH
C1=CC2CCC3C4CCCNC=C4CCC3C2C1 adI
C1=CC2CCC3C4CCCNCC4CCC3C2C1 adJ
C1=CC2CCC3C4CCCOCC4CCC3C2C1 adK
C1=CC2CCC3C4CCNCC=C4CCC3C2C1 adL
C1=CC2CCC3C4CCNCCC4CCC3C2C1 adM
C1=CC2CCC3C4CCOCCC4CCC3C2C1 adN
C1=CC2CCC3NC(O1)C2c1ccccc13 adO
C1=CC2CCC3c4ccccc4CCC3C2C1 adP
C1=CC2CCCC(C1)N2 adQ
C1=CC2CCCC2C1 adR
C1=CC2CCCC2C=C1 adS
C1=CC2CCCC2CC1 adT
C1=CC2CCCC2N1 adU
C1=CC2CCCCC2C1 adV
C1=CC2CCCCC2S1 adW
C1=CC2CCCN2C=C1 adX
C1=CC2CCCNC2C=C1 adY
C1=CC2CCNC2C=C1 adZ
C1=CC2CCNCC2C=C1 aea
C1=CC2CCNCc3cccc(c32)C1 aeb
C1=CC2CCOC2C=C1 aec
C1=CC2CCc3ccccc3C2CC1 aed
C1=CC2CNCC(C1)C2 aee
C1=CC2CNCC(C1)N2 aef
C1=CC2CNCC2C1 aeg
C1=CC2CNCC2S1 aeh
C1=CC2COCCN2CC1 aei
C1=CC2Cc3c(nc4ccccc34)C(C1)N2 aej
C1=CC2Cc3ccccc3NC2C=C1 aek
C1=CC2Cc3nc4ccccc4cc3C(C1)C2 ael
C1=CC2N=CN=CC2=CC1 aem
C1=CC2N=CN=CC2S1 aen
C1=CC2N=CNC2C=C1 aeo
C1=CC2N=CNC2N=C1 aep
C1=CC2N=CSC2C=C1 aeq
C1=CC2NC1c1cscc12 aer
C1=CC2NC3=C(CCNC3)C2C=C1 aes
C1=CC2NC=CC2N=C1 aet
C1=CC2NN=CN2C=C1 aeu
C1=CC2NN=CN2CCN1 aev
C1=CC2Nc3ccccc3C2=CC1 aew
C1=CC2Nc3ccccc3C2C=C1 aex
C1=CC2Nc3ccccc3C2CC1 aey
C1=CC2Nc3ccccc3C2CN1 aez
C1=CC2Nc3ccccc3C2c2ccccc21 aeA
C1=CC2Nc3ccccc3NC2O1 aeB
C1=CC2Nc3ccccc3OC2C=C1 aeC
C1=CC2Nc3ccccc3SC2C=C1 aeD
C1=CC2OC1C1CNCC21 aeE
C1=CC2OC1c1cc3ccccc3cc12 aeF
C1=CC2OC1c1cncc12 aeG
C1=CC2OC2C2CC=NOC12 aeH
C1=CC2OC2C2ON=CCC12 aeI
C1=CC2OC2O1 aeJ
C1=CC2Oc3cccc4c3C23CCNC(C4)C3=C1 aeK
C1=CC2Oc3ccccc3C2CC1 aeL
C1=CC2Sc3ccccc3SC2C=C1 aeM
C1=CC2c3cccc4[nH]cc(c34)CC2NC1 aeN
C1=CC2c3cccc4ncc(c34)CC2NC1 aeO
C1=CC2c3ccccc3-c3ccccc3C12 aeP
C1=CC2c3ccccc3C1c1ccccc12 aeQ
C1=CC2c3ccccc3C=CN2C=CS1 aeR
C1=CC2c3ccccc3OC3Oc4ccccc4C(C1)C32 aeS
C1=CC2c3cncc3C1C1CC21 aeT
C1=CC2c3nncn3C=NC2N1 aeU
C1=CC2c3nnnn3C=NC2N1 aeV
C1=CC=CC=CC=C1 aeW
C1=CC=CNC=C1 aeX
C1=CC=CNCC=C1 aeY
C1=CC=NNC=C1 aeZ
C1=CCC1 afa
C1=CCC2(C1)CC2 afb
C1=CCC2(C1)CCC2 afc
C1=CCC2(C1)CCCC2 afd
C1=CCC2(C1)CCCCC2 afe
C1=CCC2(CC1)CC2 aff
C1=CCC2(CC1)CCCC2 afg
C1=CCC2(CC1)CCCNC2 afh
C1=CCC2(CC1)CCCO2 afi
