B aaa
C1#CC23COC4=C2C(CC=C3C2CCC(CCC1)C2)CCCCCCC4 acr
C1#CC23COC4=C2C(CC=C3C2NCCC3C=Cc5cccc(c5CC32)C1)CCCCCCC4 acs
C1#CC23COC4=C2C(CC=C3CCCCCC1)CCCCCCC4 act
C1#CC2=C(C=CCN2)CC2CCC3(CC=Cc4ccc5c(c43)OC(CCC1)C5)C2 acu
C1#CC2=C(C=CCN2)CC2CCC3(CCCc4ccc5c(c43)OC(CCC1)C5)C2 acv
C1#CC2=C3C(=CCN2)C=CCC3C2CCC3(CC=Cc4ccc5c(c43)OC(CCC1)C5)C2 acw
C1#CC2=C3C(=CCN2)C=CCC3C2CCC3(CCCc4ccc5c(c43)OC(CCC1)C5)C2 acx
C1#CC2=CCCC(C2)OCC=CCCC1 acy
C1#CC2=CCNC3=C2COC(CCCC1)CCC1C=Cc2c(cccc2OCc2cc(C4CCCCC4)cc4cn3cc24)C1 acz
C1#CC2=CCNC3=C2COC(CCCC1)CCC1C=Cc2c(cccc2OCc2cc(C4CCOCC4)cc4cn3cc24)C1 acA
C1#CC2=CCNC3=C2COC(CCCC1)CCC1C=Cc2c(cccc2OCc2cccc4cn3cc24)C1 acB
C1#CC2=CCNC3=C2COC(CCCC1)CCC1CCc2c(cccc2OCc2cc(C4CCOCC4)cc4cn3cc24)C1 acC
C1#CC2=CCNC3=C2COC(CCCC1)CCC1CCc2c(cccc2OCc2cccc4cn3cc24)C1 acD
C1#CC2=CCNC3=C2COC(CCCC1)CCCCc1cccc(c1)OCc1cc(C24CCOC5CCC(CC2)CC54)cc2cn3cc12 acE
C1#CC2=CCNC3=C2COC(CCCC1)CCCCc1cccc(c1)OCc1cc(C2CCOCC2)cc2cn3cc12 acF
C1#CC2=CCNC3=C2COC(CCCC1)CCCCc1cccc(c1)OCc1cccc2cn3cc12 acG
C1#CC2=CCNC=C2COCCCCC1 acH
C1#CC2C3CCC4CCCC5C6CC7(CC2(C2CCC8C[CH:2]2CO8)Cc2ccc8cccc6c8c27)C3(CCCC1)C45 acI
C1#CC2C3CCCC4CC2(OCC43)C2CCCC(C2)C2C=CC1CC2 acJ
C1#CC2C3CCCC4CC2(OCC43)C2CCCC(CCCC1)C2 acK
C1#CC2C3CN4CC2C2CCC5=C(C6C7=C8C(C=CCCC9C%10(CCCO%10)C%10(CC7)C(=CCC4C4CC7CC=C(C1)C(C7)C4)OCC89%10)CC6CC5)N2C3 acL
C1#CC2C=CC(CC2)C2CC(CC1)CC1(CCCC1)C2 acM
C1#CC2C=CC34CCC3(C2)C(=CCCC1)OC4 acN
C1#CC2C=CC34CCC3(C2)C(CCCC1)OC4 acO
C1#CC2C=CC3=CCC4C5CCC(C6C(CC1)CCC46)C2C35 acP
C1#CC2C=CCC3C(C#CC=C1)NCCC23 acQ
C1#CC2C=CCCCC2CC2CCCC1CC2 acR
C1#CC2C=CCCCC2CCCCCC1 acS
