B aaa
C1=CC2=C3N(C1)CCN3CNC2 aId
C1=CC2=C3N=C(NC4=CCC(=N4)Nc4ccc([nH]4)NC4=NC(=CC4)N3)C2=CC1 aIe
C1=CC2=C3c4c(ccc5ccnc(c45)CC2)OC3C1 aIf
C1=CC2=CC(=CCC2)Cc2cccc(c2)C=CCCCCCC1 aIg
C1=CC2=CC(=CCC2)OCCOCCOCCOCCOCCO1 aIh
C1=CC2=CC(CCCCC2)OC1 aIi
C1=CC2=CC(CCCCC3=CC(C1)OC3)CO2 aIj
C1=CC2=CC(Cc3ccc(o3)CC1)OC2 aIk
C1=CC2=CC3CCCC4OCC56Cc7c(cccc7CC5O6)CCCCCC5C=CC(C2C5C1)C34 aIl
C1=CC2=CC3CCCC4OCC56Cc7c(cccc7CC5O6)CCCCCCC(C1)C2CC34 aIm
C1=CC2=CC3CCN2C(=C1)C3 aIn
C1=CC2=CC3COC24C(CCCC4C3)CO1 aIo
C1=CC2=CC3COC4OC25C(CCCC5C34)CO1 aIp
C1=CC2=CC3OCCC34CC24CC1 aIq
C1=CC2=CC3OCCC4CCC5OC(C1)C2C5C43 aIr
C1=CC2=CC=C1C2 aIs
C1=CC2=CC=C3C=C(C4=CC5=CC=C6C=CC=C7C=CC(=C4)C7C65)C=C4C=CC(=C1)C4C23 aIt
C1=CC2=CC=C3C=CC=C4C=CC(=C1)C2C43 aIu
C1=CC2=CC=CC3CCC(=C1)C23 aIv
C1=CC2=CC=CC3CCCC(=C1)C23.c1cc2c3c(cc[cH:2]c3c1)CCC2 aIw
C1=CC2=CC=CC3CNC(=C1)C23 aIx
C1=CC2=CC=CC3C[NH:2]C(=C1)C23.C1=CC2=CC=CC3NCC(=C1)C23 aIy
C1=CC2=CC=CC3NSC(=C1)C23 aIz
C1=CC2=CC=NC2=CC1 aIA
C1=CC2=CC=NOC2CC1 aIB
C1=CC2=CC=N[C+]2C=C1 aIC
C1=CC2=CC=[S+]C2=NC1 aID
C1=CC2=CCC(CCCC1)O2 aIE
C1=CC2=CCC34CCc5cccc(c53)CPCC(=C24)C1 aIF
C1=CC2=CCC3=C2C(CCCC3)C2CCc3cccc(c3O2)C1 aIG
C1=CC2=CCC3CCC4CCCC(C1)C4C23 aIH
C1=CC2=CCC3COCC45Cc6c(cccc6CC4O5)CCCCCC4C=CC3C2C4C1 aII
C1=CC2=CCC3COCC45Cc6c(cccc6CC4O5)CCCCCC4CCC3C2C4C1 aIJ
C1=CC2=CCC3COCC45Cc6c(cccc6CC4O5)CCCCCCC(C1)C2C3 aIK
C1=CC2=CCC3NCCC23CC1 aIL
C1=CC2=CCC3OCC4=COC(O1)C2C43 aIM
C1=CC2=CCC=C3CCCCC(C1)C23 aIN
C1=CC2=CCC=C3CNC(=C1)C23 aIO
C1=CC2=CCC=C3OC=CC(=C23)C1 aIP
C1=CC2=CCC=CC2=C1 aIQ
C1=CC2=CCC=CC2=CC1 aIR
C1=CC2=CCC=CC2=S=1 aIS
C1=CC2=CCCC3=C2C(CO3)O1 aIT
C1=CC2=CCCC3C=COC23CO1 aIU
C1=CC2=CCCC=C2C[NH2+]C1 aIV
C1=CC2=CCCC=[N+]2CC1 aIW
C1=CC2=CCCCC23CNCC3C1 aIX
C1=CC2=CCCCC23OC3O1 aIY
C1=CC2=CCCCC2C2CCC(C1)C2 aIZ
C1=CC2=CCCCC=C2CCC1 aJa
C1=CC2=CCCCCC2COC1 aJb
C1=CC2=CCCCc3cccc(c32)CCC1 aJc
C1=CC2=CCCCc3cccc4c3C2(CC1)CO4 aJd
C1=CC2=CCCN3CCC(=C1)C23 aJe
C1=CC2=CCCN=C2OC2CCN(CCNCN3CCC(C3)OCCC1)C2 aJf
C1=CC2=CCCOC23OCCC2CCCC23C1 aJg
C1=CC2=CCCOC2=CC1 aJh
C1=CC2=CCCc3cccc(c32)C1 aJi
C1=CC2=CCCc3ccnc(c32)N1 aJj
C1=CC2=CCN3CCCC(=C23)N1 aJk
C1=CC2=CCN3CCCCC23CC1 aJl
C1=CC2=CCN3CCCCCC23CC1 aJm
C1=CC2=CCOC3CCCC(C1)C23 aJn
C1=CC2=CCOc3cccc(c32)C1 aJo
C1=CC2=CCOc3cccc(c32)O1 aJp
C1=CC2=CCSC2=C1 aJq
C1=CC2=CCc3cccc(c32)C1 aJr
C1=CC2=CCc3cccc4c3C2C(=C1)C=C4 aJs
C1=CC2=CN(C1)CCCCCCCCCCC1=CN(CC=C1)CCCCCCCCC2 aJt
C1=CC2=CN(C1)CCCCCCCCCCCCCC1=CN(CC=C1)CCCCCCCCCCCC2 aJu
C1=CC2=CN(C1)CCCCCCCCCCCCCCC1=CN(CC=C1)CCCCCCCCCC2 aJv
C1=CC2=CN(C1)CCCCCCCCCCCCCCC1=CN(CC=C1)CCCCCCCCCCCCCC2 aJw
C1=CC2=CN(C1)CCCCc1cccc(c1)CCNC2 aJx
C1=CC2=CN(CCCc3ccc(cn3)CCCCN3C=C1CC3)CC2 aJy
C1=CC2=CN(CCCc3ccc(cn3)CCCN3C=C1CC3)CC2 aJz
C1=CC2=CN(CCNCCNCCNCCN3C=C1CC3)CC2 aJA
C1=CC2=CN(CCOCCNCCOCCN3C=C1CC3)CC2 aJB
C1=CC2=CN(CCOCCNCCOCCNCCN3C=C1CC3)CC2 aJC
C1=CC2=CN([CH-]1)CCCCCCCCCCC1=CN(CC=C1)CCCCCCCCCCCC2 aJD
C1=CC2=CN([CH-]1)CCCCCCCCCCC1=CN(CC=C1)CCCCCCCCCCCCC2 aJE
C1=CC2=CN=NC2=CC1 aJF
C1=CC2=CNCc3cccc(c32)C1 aJG
C1=CC2=CNN=CN=C2CC1 aJH
C1=CC2=C[NH+]=CC2=N1 aJI
C1=CC2=NC(C=CCNCCNCCNCCNCCOCCCC1)CS2 aJJ
C1=CC2=NC(CCCNCCNCCNCCNCCOCCCC1)CS2 aJK
C1=CC2=NC1=CC1=CC3=CCC(=C4CCC(=CC5=NC(=C2)C=C5)N4)C3=N1 aJL
C1=CC2=NC1=CC1=CC=C(C=C3C=CC(=N3)C=c3ccc([nH]3)=C2)[NH2+]1 aJM
C1=CC2=NC1=CC1=CCC(=CC3=NC(=CC4=NC(=C2)C=C4)C=C3)N1 aJN
C1=CC2=NC1=CC1=CCC(=N1)C=C1C=CC(=N1)C=c1ccc([nH]1)=C2 aJO
C1=CC2=NC1=CC1=CCC(=N1)C=C1CCC(=N1)C=c1ccc([nH]1)=C2 aJP
C1=CC2=NC1=CC1=CCC(=N1)C=c1ccc([nH]1)=CC1=NC(=C2)C=C1 aJQ
C1=CC2=NC1=CC1=CCC(=N1)C=c1ccc([nH]1)=CC1=NC(=C2)CC1 aJR
C1=CC2=NC1=CC1=NC(=C(c3cc[nH+]cc3)c3ccc([nH]3)C=C3C=CC(=N3)C2)C=C1 aJS
C1=CC2=NC1=CC1=NC(=C3CC=C4C=C(C=c5ccc([nH]5)=C2)N=C43)CC1 aJT
C1=CC2=NC1=CC1=NC(=C3CCC4=CC(=CC5=NC(=C2)C=C5)N=C43)CC1 aJU
C1=CC2=NC1=CC1=NC(=C3CCC4=CC(=CC5=NC(=C2)CC5)N=C43)CC1 aJV
C1=CC2=NC1=CC1=NC(=C3COCC4=CC(=CC5=NC(=C2)C=C5)N=C43)CC1 aJW
C1=CC2=NC1=CC1=NC(=CC1)C=C1CCC(=C3CNCC4=CC(=C2)N=C43)N1 aJX
C1=CC2=NC1=CC1=NC(=CC3=NC(=CC3)C=C3CCC(=C2)N3)CC1 aJY
C1=CC2=NC1=CC1=NC(=CC3=NC(=CC3)C=c3ccc([nH]3)=C2)CC1 aJZ
C1=CC2=NC1=CC1=NC(=CC3=NC(=CC4=NC(=C2)C=C4)C=C3)C=C1 aKa
C1=CC2=NC1=CC1=NC(=CC3=NC(=CC4=NC(=C2)C=C4)CC3)C2OCCC12 aKb
C1=CC2=NC1=CC1=NC(=CC3=NC(=CC4=NC(=C2)C=C4)CC3)C=C1 aKc
C1=CC2=NC1=CC1=NC(=CC3=NC(=CC4=NC(=C2)C=C4)CC3)CC1 aKd
C1=CC2=NC1=CC1=NC(=CC3=NC(=CC4=NC(=C2)CC4)C=C3)C(C2CCCCO2)C1 aKe
C1=CC2=NC1=CC1=NC(=CC3=NC4=C(CCC4=C3)C3=NC(=C2)CC3)CC1 aKf
C1=CC2=NC1=CC1=NC3=C(CCC3=C1)C1=NC(=CC3=NC(=C2)C=C3)CC1 aKg
C1=CC2=NC1=CC1=NC3=C(CCOC3=C1)C1=NC(=CC3=NC(=C2)C=C3)CC1 aKh
C1=CC2=NC1=CC1=NC3=C(COCC3=C1)C1=NC(=CC3=NC(=C2)C=C3)CC1 aKi
C1=CC2=NC1=CC1=NC3=C4C5=NC(=CC6=NC(=C2)C=C6)CC5CCCC4OCC3=C1 aKj
C1=CC2=NC1=CC1C=CC(=CC3=NC(C=C3)C=c3ccc([nH]3)=C2)N1 aKk
C1=CC2=NC1=CC1C=CC(C=C3C=CC(=N3)C(c3cc[nH+]cc3)=c3ccc([nH]3)=C2)N1 aKl
C1=CC2=NC1=CC1C=CC(C=c3ccc([nH]3)=CC3=NC(=C2)C=C3)N1 aKm
C1=CC2=NC1=CC1CCC(=N1)C=c1ccc([nH]1)=CC1=NC(=C2)C=C1 aKn
C1=CC2=NC1=CC1CCC(=N1)CC1=NC(=CC3=NC(=C2)C=C3)C=C1 aKo
C1=CC2=NC1=CC1CCC(C=C3C=CC(=N3)C=C3CCC(=C2)N3)N1 aKp
C1=CC2=NC1=Cc1cc3c([nH]1)C(=C1CCC(=N1)C=C1C=CC4(N1)OC24)CC3 aKq
C1=CC2=NC1=Cc1ccc([nH]1)C(c1ccncc1)=C1C=CC(=N1)Cc1ccc([nH]1)C2 aKr
C1=CC2=NC1=Cc1ccc([nH]1)C1=CCC3CC(=CC4=NC(=C2)C=C4)N=C13 aKs
C1=CC2=NC1=Cc1ccc([nH]1)C1=NC(=CC3=NC(=C2)C=C3)C=C1 aKt
C1=CC2=NC1=Cc1ccc([nH]1)C=C1CCC(=N1)C=C1C=CC(C2)N1 aKu
C1=CC2=NC1=Cc1ccc([nH]1)C=c1ccc([nH]1)=CC1=NC(C=C1)C2 aKv
C1=CC2=NC1=Cc1ccc([nH]1)C=c1ccc([nH]1)=CC1=NC(C=C1)C=c1ccc([nH]1)=C2 aKw
C1=CC2=NC1=Cc1ccc([nH]1)C=c1ccc([nH]1)=Cc1ccc([nH]1)C=C1C=CC(=N1)C2 aKx
C1=CC2=NC1=Cc1ccc([nH]1)CC1C=CC(=N1)C=c1ccc([nH]1)=C2 aKy
C1=CC2=NC1=Cc1ccc([nH]1)CCCCCCCCCCc1ccc2[nH]1 aKz
C1=CC2=NC1=Cc1ccc([nH]1)CCCCCCCCCc1ccc2[nH]1 aKA
C1=CC2=NC1=NC1=CCC(=NC3=NC(=NC4=NC(=N2)CC4)CC3)N1 aKB
C1=CC2=NC=C3CC4NCC5C=C4C(=C1)C32NCCNCCNCCNC5 aKC
C1=CC2=NC=CCN2C=C1 aKD
C1=CC2=NC=CNC2=NC1 aKE
C1=CC2=NC=COC2=CC1 aKF
C1=CC2=NC=NC2=CC1 aKG
C1=CC2=NC=NC2=CCN1 aKH
C1=CC2=NC=NC3=NC=NC(=C1)N23 aKI
C1=CC2=NC=NN3CCC(=C23)C1 aKJ
C1=CC2=NC=NNC2=CC1 aKK
C1=CC2=NC=[NH+]C2C=C1 aKL
C1=CC2=NCC=CN2N=C1 aKM
C1=CC2=NCC=NC2=CC1 aKN
C1=CC2=NCCC23CCN=CN3CC1 aKO
C1=CC2=NCCC2=CC1 aKP
C1=CC2=NCCC3CNC(=C23)C1 aKQ
C1=CC2=NCCC3OC23C1 aKR
C1=CC2=NCCC=C2OC2CCN(CCNCOCCCCC1)C2 aKS
C1=CC2=NCCCC2=CC1 aKT
C1=CC2=NCCCCN2C=C1 aKU
C1=CC2=NCCCN2N1 aKV
C1=CC2=NCCCNCc3cccc(c3)CN3CCc4cc(ccc43)NC(=N1)N2 aKW
C1=CC2=NCCN3C2=C(C1)C1C=CCC3C1 aKX
C1=CC2=NCCN3C2=C(C1)C1CCCC3C1 aKY
C1=CC2=NCCNC2=CC1 aKZ
C1=CC2=NCCOC2=CC1 aLa
C1=CC2=NCCSC2=CC1 aLb
C1=CC2=NCCc3c[nH]c(c32)C1 aLc
C1=CC2=NCNC2=CC1 aLd
C1=CC2=NCNC2=NC=N1 aLe
C1=CC2=NCNN2NC1 aLf
C1=CC2=NCN[C-]2C=C1 aLg
C1=CC2=NCOC2=CC1 aLh
C1=CC2=NCOc3cccc(c32)C1 aLi
C1=CC2=NC[CH-]CN2C=C1 aLj
C1=CC2=NC[NH2+]C2=CC1 aLk
C1=CC2=NCc3cccnc3NCCCCN3CCc4cc(ccc43)NC(=N1)N2 aLl
C1=CC2=NNC[N+]2=NC1 aLm
C1=CC2=NNCc3cccc(c32)N1 aLn
C1=CC2=NSCCN2C=C1 aLo
C1=CC2=NSNC2=CC1 aLp
C1=CC2=N[NH2+]CN2CC1 aLq
C1=CC2=Nc3cccc(c3)NC3=NC=CC(=Nc4cccc(c4)NC(=N1)N2)N3 aLr
C1=CC2=[N+](C1)CCN2 aLs
C1=CC2=[N+](CC1)CC1CNCC2C1 aLt
C1=CC2=[NH+]C=CCN2N=C1 aLu
C1=CC2=[NH+]CC=CC2=CC1 aLv
C1=CC2=[NH+]CCCC2=CC1 aLw
C1=CC2=[NH+]CCCN2C1 aLx
C1=CC2=[NH+]ONC2C=C1 aLy
C1=CC2C(=C1)c1cc3ccc1C2Oc1ccc(cc1)CCCOCC3 aLz
C1=CC2C(=CCCC3CCC(CCC1)O3)C1CC3C(=CCCCCCCCCCCC23)O1 aLA
C1=CC2C(C1)C1C3C2C2C4C5CCC6OCC12C(C65)C34 aLB
C1=CC2C(C1)C1CC3C4CCCC(C4)C1C23 aLC
C1=CC2C(C1)C1CC3CCCC1C32 aLD
C1=CC2C(C1)C1CC3OC4CCCCC32C41 aLE
C1=CC2C(C1)C1CCOC3CCCC1C32 aLF
C1=CC2C(C=C1)C1C3C4C=CC5C4C1C2C53 aLG
C1=CC2C(CC1)CC13COC4CCC1C2OC43 aLH
C1=CC2C(CC1)CC1CC3C=CC1C2C3 aLI
C1=CC2C(CC1)CCC1COC3C4CC5C(CO4)COC24COC13C54 aLJ
C1=CC2C3(CCCNC3=N1)CC[NH:2]2.C1=CC2NCCC23CCCNC3=N1 aLK
C1=CC2C34CCNC3CCCC4N3CC4CC(C1)C23CN4 aLL
C1=CC2C34CC[NH+]=C3CCCC4N3CC4CC(C1)C23CN4 aLM
C1=CC2C3=C(C=CC4CCCC1=C34)c1ccc3c4c(ccc2c14)CCC3 aLN
C1=CC2C3=C(C=CC4CNCC1=C34)c1ccc3c4c(ccc2c14)CNC3 aLO
C1=CC2C3=C(CC4CCCC(C1)C42)C12CCC1(CC3)COC2 aLP
C1=CC2C3=C(NCS3)SC3C4CC(CO1)C(C4)C23 aLQ
C1=CC2C3=C4CCC56C(=CC7CCC8C9CC(CN8C7)C7C=CC8=C(C4C4C(CC=CC24)C8)N7C9)OCC35C(CC1)C61CCCO1 aLR
C1=CC2C3=C4CCC56C(=CC7CCC8C9CC(CN8C7)C7CCC8=C(C4C4C(CC=CC24)C8)N7C9)OCC35C(CC1)C61CCCO1 aLS
C1=CC2C3=C4CCC56C7=CCCN8CC9CC(C8)C8CCC%10=C(C4C(CC%10)C2Cc2cccc(c2)CCC1CC(C51CCCO1)C36CO7)N8C9 aLT
C1=CC2C3=C4CCC56CC(CC1)C35COC6=CCCN1CC3CC(C1)C1CCC5=C(C4C4C(CC=CC24)C5)N1C3 aLU
C1=CC2C3=CC1OCC1CCC4C1CCC2C4CC3 aLV
C1=CC2C3=CC45C=CCC6CCCC2(C2=C(C4)C47CCCC(C2)C4C(CCCCCCCCNC2=CC=C(CN2)c2cccc(c2)CC3=C1)CC7)C65 aLW
C1=CC2C3=CC45C=CCC6CCCC2(C2=C(C4)C4C7CCCC4(CC2)C(CCCCCCCCNC2=CC=C(CN2)c2cccc(c2)CC3=C1)C7)C65 aLX
C1=CC2C3=CC45C=CCC6CCCC2(C2=C(C4)C4CCC(CCCCCCCCNC7=CC=C(CN7)c7cccc(c7)CC3=C1)C4CC2)C65 aLY
C1=CC2C3=CCOCC34OC4C3OCC(C1)C23 aLZ
C1=CC2C3C(C1)OCC3OC(C1CCC3CCC4CCCCC431)[CH2:2]2 aMa
C1=CC2C3C(C4CC5CCCC6CCC5C6N4)C1CN23 aMb
C1=CC2C3C1C1C4C5=C(CCC5)C(C21)C43 aMc
C1=CC2C3C1C1C4CCC(C21)C43 aMd
C1=CC2C3C1C1C4NNC(C21)C43 aMe
C1=CC2C3C4=CCCC=C4C(C1)C2C1CCCC3C1 aMf
C1=CC2C3C=C(C4=CCCCC4)C2CC1C3 aMg
C1=CC2C3C=C4CCc5cccc(c5)CC=CC2(CC1)C4CC3 aMh
C1=CC2C3C=C4CCc5cccc(c5)CCCC2(CC1)C4CC3 aMi
C1=CC2C3C=CC(C1)C2C1COCC3C1 aMj
C1=CC2C3C=CC(C3)OC2O1 aMk
C1=CC2C3C=CC1CCC23 aMl
C1=CC2C3C=CC1SC23 aMm
C1=CC2C3C=CC4C1C1CC4C3C21 aMn
C1=CC2C3C=CC4C1C1OC4C3OC21 aMo
C1=CC2C3C=CC4CCCC(O1)C42CO3 aMp
C1=CC2C3C=CNC(C=C3)C2C1 aMq
C1=CC2C3C=NC2CC1C3 aMr
C1=CC2C3CC(C1)C23 aMs
C1=CC2C3CC(CCO3)C2C1 aMt
C1=CC2C3CC1C1CC(C3)C21 aMu
C1=CC2C3CC1C1OCCCC231 aMv
C1=CC2C3CC1C2CCO3 aMw
C1=CC2C3CC1CC(C3)C21CO1 aMx
C1=CC2C3CC1CC1CCCC12C3 aMy
C1=CC2C3CC1CC21CCC2CCCC4OC3C1C24 aMz
C1=CC2C3CC1CN23 aMA
C1=CC2C3CC1CN2CCC1=C3NCC1 aMB
C1=CC2C3CC1CN2CN1CCC=C31 aMC
C1=CC2C3CC1OC23 aMD
C1=CC2C3CC4(C3)NCCC43CCN(C1)C23 aME
C1=CC2C3CC4=CCCC5=C4C2(CCN3)C(C1)O5 aMF
C1=CC2C3CC4C(C13)C24 aMG
C1=CC2C3CC4C5C=CC4(C1)C2CC3O5 aMH
C1=CC2C3CC4C=CC3C3CC2(C=CC43)CC1 aMI
C1=CC2C3CC4CC5CC6C1C2C1C6C5C4C31 aMJ
C1=CC2C3CC4CCCC4C2CC13 aMK
C1=CC2C3CC4CN(CCC=C5OCC67C8=C9CCC56C5(CCCO5)C7CC5C=CC8C(Cc6cccc(c6)CC5)C5CCC1=C(C95)N2C4)C3 aML
C1=CC2C3CC4CN(CCC=C5OCC67C8=C9CCC56C5(CCCO5)C7CC5C=Cc6c(cccc6CC(=C8)C6CCC1=C(C96)N2C4)CC5)C3 aMM
C1=CC2C3CC4CN(CCC=C5OCC67C8=C9CCC56C5(CCCO5)C7CCC=C5CCC6(CCC1=C(C96)N2C4)CC58)C3 aMN
C1=CC2C3CC4CN(CCC=C5OCC67C8=C9CCC56C5(CCCO5)C7CCCCC8=CC5CCC1=C(C95)N2C4)C3 aMO
C1=CC2C3CC4CN(CCC=C5OCC67C8=C9CCC56C5(CCCO5)C7CCCCc5cccc(c5)CC(=C8)C5CCC1=C(C95)N2C4)C3 aMP
C1=CC2C3CC4CN(CCC=C5OCC67C8=C9CCC56C5(CCCO5)C7CCCCc5cccc(c5)CC(C8)C5CCC1=C(C95)N2C4)C3 aMQ
C1=CC2C3CC4CN(CCC=C5OCC67C=C(CCC56CC7)C5CCCC1=C5N2C4)C3 aMR
C1=CC2C3CC4CN(CCC=C5OCC67CCC56CCC5=C7C=CC6CCC1=C(C56)N2C4)C3 aMS
C1=CC2C3CC4CN(CCC=C5OCC67CCC56CCC5=C7CCC6CCC1=C(C56)N2C4)C3 aMT
C1=CC2C3CC4CN2C2=C1CCC1C5=CC6=C(CCC78C(=CC9CCC4N(C9)C3)OCC67C(CCCCc3cccc(c3)C5)C83CCCO3)C21 aMU
C1=CC2C3CC4CN2C2=C1CCC1C5CC6=C(CCC78C(=CC9CCC4N(C9)C3)OCC67C(CCCCc3cccc(c3)C5)C83CCCO3)C21 aMV
C1=CC2C3CC4CN2C2=C1CCC1C=C5CCCCC6C7(CCCO7)C78CCC(=C5C67COC8=CC5CCC4N(C5)C3)C21 aMW
C1=CC2C3CC=CC(C1)C2OC12CCCC(COCCC3)(O1)C1CCCC2C1 aMX
C1=CC2C3CC=CC(C1)C2OC1OC(COCCC3)C2CC1CCC2=C1C=CN[CH2:2]1 aMY
C1=CC2C3CC=CC2(CC1)CCN3 aMZ
C1=CC2C3CC=CC4CCCC43CCC23CCCC3CC1 aNa
C1=CC2C3CCC(C3)OC2O1 aNb
C1=CC2C3CCC(CC3)C3CCCC(C1)C23 aNc
C1=CC2C3CCC(NN3)C12 aNd
C1=CC2C3CCC(OC3)C23CCC1C3 aNe
C1=CC2C3CCC1CC2CC3 aNf
C1=CC2C3CCC2C(C1)C3 aNg
C1=CC2C3CCC2N2CCC1C32 aNh
C1=CC2C3CCC2OC1C3 aNi
C1=CC2C3CCC4=C5C(CC4)CCC52C2C1CCN2C3 aNj
C1=CC2C3CCC4=C5C(CC4)CCC52CN(CCC1)C3 aNk
C1=CC2C3CCC4C1C1OC4C3OC21 aNl
C1=CC2C3CCC4C5CCC6C1C2C(C65)C34 aNm
C1=CC2C3CCC4CCC(O4)C(O3)C2CC1 aNn
C1=CC2C3CCC4CCC5OC45C3CC3OCC(C1)C32 aNo
C1=CC2C3CCC4COCC5OC45C3CC3CC32CC1 aNp
C1=CC2C3CCCC2(C2=NOCC2)C1C3 aNq
C1=CC2C3CCCC24C(CCCC42CCCC12)CC3 aNr
C1=CC2C3CCCC2C(C1)C1=CCCC=C13 aNs
C1=CC2C3CCCC2C1C3 aNt
C1=CC2C3CCCC2C3C1 aNu
C1=CC2C3CCCCC2C3C1 aNv
C1=CC2C3CCCCC3C3Oc4ccc(cc4)CC4CC5(C=CC1C(C5)C23)CN4 aNw
C1=CC2C3CCCCC3C3Oc4ccc(cc4)CC4CC5(CCC1C(C5)C23)CN4 aNx
C1=CC2C3CCCCC4CCC(CCC5=NCCC52CC1)(O4)O3 aNy
C1=CC2C3CCCCCC4OCCC(C1)C2C4O3 aNz
C1=CC2C3CCCOC23CN1 aNA
C1=CC2C3CCCOC23CO1 aNB
C1=CC2C3CCN2CCC2C1COC23 aNC
C1=CC2C3CCN4C(C5=CC6C7CCN8CCC9(CCN(C5)C69)C8C7)CC5(CCN(C1)C25)C4C3 aND
C1=CC2C3CCN4C(C5C=C6C7CCN8CCC9(CCN(C5)C69)C8C7)CC5(CCN(C1)C25)C4C3 aNE
C1=CC2C3CCN4CCC5(CCN(C1)C25)C4C3 aNF
C1=CC2C3CN4CCC=C5OCC67C8=C9CCC56CC7CCCCc5cc6cc(c5)Cc5ccc(cc5)CC(C3)(C4)CN2C2=C1CCC(C(=C8)C6)C92 aNG
C1=CC2C3COC(C3)CC23COCC3C1 aNH
C1=CC2C3COC2CC1C3 aNI
C1=CC2C3COCC(C3)C3C1CCCC23 aNJ
C1=CC2C3Cc4c(-c5ccc6c7c5CC5NCCC78C(CC=CC58)O6)ccc5c4C2(CCN3)C(C1)O5 aNK
C1=CC2C3Cc4cc(-c5cc6c7c(c5)OC5CC=CC8C(C6)NCCC758)cc5c4C2(CCN3)C(C1)O5 aNL
C1=CC2C3Cc4cc[cH:2]c5c4C2(CCN3)C(C1)O5.C1=CC2C3Cc4cccc5c4C2(CCN3)C(C1)O5 aNM
C1=CC2C3Cc4cccc(c4)Oc4ccc(cc4)CC4NCCc5cccc(c54)OC(=C1)C2CCN3 aNN
C1=CC2C3Cc4cccc5c4C2(CCN3)C(=C1)O5 aNO
C1=CC2C3Cc4cccc5c4C2(CCN3)C(C1)O5 aNP
C1=CC2C3Cc4cccc5c4C2(CC[NH2+]3)C(C1)O5 aNQ
C1=CC2C3OC4(CCCC3O4)CC3CCCC4(CCC5(CCCC(CCCCCC6=NCCCCC62CC1)O5)O4)O3 aNR
C1=CC2C3OC4OC3CCC2(CCC1)O4 aNS
C1=CC2C3OCC4CC1CC423 aNT
C1=CC2C3OCCOC(O3)C3COC1C23 aNU
C1=CC2C=C3CCC4=CC5C=CC4C=C5CCC2=CC13 aNV
C1=CC2C=CC(C1)C2 aNW
C1=CC2C=CC(C1)CC2 aNX
C1=CC2C=CC(C1)CC21SCCS1 aNY
C1=CC2C=CC(C1)N2c1ccccn1 aNZ
C1=CC2C=CC(C1)NN2 aOa
C1=CC2C=CC(C1)ON2 aOb
C1=CC2C=CC(C2)N1 aOc
C1=CC2C=CC(C=C1)N1CNCN21 aOd
C1=CC2C=CC(CCCC1)O2 aOe
C1=CC2C=CC1C1C2C2C3C=CC(C3)C12 aOf
C1=CC2C=CC1C1C2C2C3C=CC(CC3)C12 aOg
C1=CC2C=CC1C1CCC21 aOh
C1=CC2C=CC1C2 aOi
C1=CC2C=CC1CC2 aOj
C1=CC2C=CC1CCC2 aOk
C1=CC2C=CC1N2 aOl
C1=CC2C=CC1O2 aOm
C1=CC2C=CC3(C1)CCCC1CCCC2N13 aOn
C1=CC2C=CC3(C1)CCCC=C3C2 aOo
C1=CC2C=CC3(C1)CCCCC3=C2 aOp
C1=CC2C=CC34CCC25C(C1CC1COCC2OC125)C31COCCC1OC4 aOq
C1=CC2C=CC34OCCC3OC(O1)C24 aOr
C1=CC2C=CC3C(C=CC3C2)C1 aOs
C1=CC2C=CC3C4C=C5CC6CCC(CCCCC4)C53C26CN1 aOt
C1=CC2C=CC3CC4CC(C1)C2C34 aOu
C1=CC2C=CC3CC=C4CC5CCCC43C25CN1 aOv
C1=CC2C=CC3CC=Cc4ccc(c2c43)C1 aOw
C1=CC2C=CC3CCC(C1)C2C3 aOx
C1=CC2C=CC3CCC4=CCC=C(O2)C43NC1 aOy
C1=CC2C=CC3OCC(C1)C23 aOz
C1=CC2C=CCC(C1)CC2 aOA
C1=CC2C=CCC23CCCCOC3C1 aOB
C1=CC2C=CCC2CCCC2COC(C1)C2 aOC
C1=CC2C=CCC3CN=CC23CCCCCCC1 aOD
C1=CC2C=CCC3CNCC23CC1 aOE
C1=CC2C=CCC3CNCC23CC2C(CCCC1)C1OC2C23CCC=CC12C1CCCC3C1 aOF
C1=CC2C=CCC3CNCC23CC2C3C(CCC1)OC1C4CC5C6C4CC4CC6C56C2OC3C416 aOG
C1=CC2C=CCC3CNCC23CC2C3C(CCC1)OC1C4CCC56C7CC4CC(C7)C15C3OC26 aOH
C1=CC2C=CCC3CNCC23CC2C3OC4C5C(CC=CC35)OC(CCC1)C24 aOI
C1=CC2C=CCC3CNCC23CC2CCC3=CCOC4OC(CCC1)C2C34 aOJ
C1=CC2C=CCC3CNCC23CCCCCCC1 aOK
C1=CC2C=CCC3CNCC23OCCCCCCC1 aOL
C1=CC2C=CCC3OCC(=CC23)OCCCCCCC1 aOM
C1=CC2C=CCCC23CCCCN=C3CCCCCC2CCCC3(CCC(CC1)O3)O2 aON
C1=CC2C=CCCC23CCCCN=C3CCCCCC2CCCC3(CCC4(CCC(CC1)O4)O3)O2 aOO
C1=CC2C=CCCC23CCCCN=C3CCCCCC2CCCC3(CCCC4(CCC(CC1)O4)O3)O2 aOP
C1=CC2C=CCCC23CCCN=C3CCC=CC2CCC(CCC1)O2 aOQ
C1=CC2C=CCCC23CCCN=C3CCCCC2CCC(CCC1)O2 aOR
C1=CC2C=CCCC2CC2=CC(CCCCCCCCC1)OC2 aOS
