canonical_smiles,standard_type,standard_value
COc1ccc(CNc2c(Nc3ccncc3)c(=O)c2=O)c(OC)c1,Ki,6309.57
Nc1ncnc2onc(-c3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3)c12,Ki,3162.28
COc1ccc(OC)c(Nc2ccc3nnc(-c4ccccc4)n3n2)c1,Ki,1995.26
CCCn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1,Ki,6309.57
COc1cccc(C(=O)Nc2n[nH]c3ccc(-c4cn(Cc5ccccc5)nn4)cc23)c1,Ki,31.62
CCOc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1Cl,Ki,6309.57
CC(=O)Nc1c(C(N)=O)sc2ccc(Cl)c(Cl)c12,Ki,100.0
Cc1cccc(NC(=O)Nc2ccc(-c3csc4nc(N)nc(N)c34)cc2)c1,Ki,6309.57
COc1cccc(C(=O)Nc2cnc3[nH]cc(-c4ccccc4)c3c2)c1,Ki,501.19
CN(C)CCCN(C)C(=O)c1cccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cccc3ccccc23)c1,Ki,1995.26
Cc1cccc(NC(=O)Nc2ccc(-c3cccc(C(N)=O)c3)cc2)c1,Ki,6309.57
NC1CCCCC1Nc1nccc(-c2c[nH]c3ncccc23)n1,Ki,7.943
Cc1c(C)n(Cc2ccccc2)c2ccc(C(=O)Nc3nc[nH]n3)cc12,Ki,6309.57
NC(COCc1ccccc1)COc1cncc(C=Cc2ccncc2)c1,Ki,794.33
CCn1c2cc(Cl)c(O)cc2c(=O)c2c(=O)o[nH]c21,Ki,39.81
O=C(O)c1ccccc1Nc1ccnc(Nc2ccc3cn[nH]c3c2)n1,Ki,100.0
Nc1ncnn2ccc(C(=O)Nc3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,Ki,6309.57
c1ccc(Nc2ncnc3ccccc23)cc1,Ki,31622.78
Cc1nc2ccc(NS(=O)(=O)c3ccc(N)cc3)cc2nc1C,Ki,1584.89
OC(COc1cncc(C=Cc2ccncc2)c1)Cc1c[nH]c2ccccc12,Ki,1995.26
CSc1c[nH]c2ncnc(NCCCO)c12,Ki,1000.0
CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,Ki,6309.57
CC(C)(CNc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1)CNS(C)(=O)=O,Ki,63.1
O=C(Nc1cnccn1)Nc1ccnc2c(F)cccc12,Ki,316.23
CCC1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,Ki,6309.57
CN1c2ccc(N)cc2C(c2ccccc2)c2cc(N)ccc21,Ki,63.1
OCCNc1cc2cc(-c3cccnc3)ccc2cn1,Ki,25.12
O=C1NCc2c1cccc2-c1cccs1,Ki,12589.25
Cc1cccc(-c2ccc3c(c2)C(=O)NC3)c1,Ki,79432.82
NS(=O)(=O)c1cccc(Nc2ncc3ccn(-c4ccccc4)c3n2)c1,Ki,199.53
Nc1ncnc2c1C(=O)Nc1ccccc1N2,Ki,79432.82
O=C1CCCc2oc3cc(C(F)(F)F)ccc3c(=O)c21,Ki,6309.57
Clc1cc2nn[nH]c2cc1Cl,Ki,3981.07
CC(C)(CO)CNc1nccc(-c2c(-c3ccc(F)cc3)nc3c(Cl)nccn23)n1,Ki,6309.57
CCc1nc2c(c3cc(OC)c(OC)cc13)C(=O)NC2=O,Ki,2511.89
COc1ccc2c(c1)C(=Cc1c[nH]cn1)C(=O)N2,Ki,1000.0
c1ccc2c(c1)Cc1c[nH]nc1-2,Ki,63095.73
Cc1ccnc(Nc2cc(C)nc(-c3ccccc3)n2)c1,Ki,1995.26
Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,Ki,1584.89
Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CCNS(C)(=O)=O)cnc(N)c34)cc2)c1,Ki,6309.57
Cn1cc(-c2cc3nc(Br)cnc3[nH]2)c2cc(C#N)ccc21,Ki,1995.26
Cc1cccc(NC(=O)Cc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,Ki,6309.57
Cc1ccnc2[nH]c3cc(C(C)C)ccc3c(=O)c12,Ki,501.19
Fc1ccc(-c2nc3sccn3c2-c2ccncc2)cc1,Ki,6309.57
CCCCNc1n[s+]([O-])nc1Nc1ccc(F)cc1,Ki,6309.57
NC(=O)c1cc2c(-c3ccc(Br)cc3)cncc2s1,Ki,1995.26
Nc1ccc(-c2cncc(OCC(N)Cc3c[nH]c4ccccc34)c2)cc1C(=O)c1ccccc1F,Ki,199.53
Cc1cc(NC(=O)CCNC(=O)Nc2nc(C)c(-c3ccc(-n4cccn4)cc3)s2)no1,Ki,158.49
COc1ccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(CCO)c5)cnc(N)c34)cc2)cc1,Ki,6309.57
COc1ccc(CN(C)C)cc1Nc1nccc(-c2c(-c3cccc(NC(=O)Cc4ccccc4)c3)nc3sccn23)n1,Ki,1584.89
COc1cc(C=C2SC(=O)NC2=O)ccc1O,Ki,31.62
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)ccn1,Ki,6309.57
CC(O)Cn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1,Ki,6309.57
Cc1n[nH]c2c1C(c1ccccc1I)C(C#N)=C(N)O2,Ki,6309.57
NCCOc1cncc(C=Cc2ccncc2)c1,Ki,630.96
Cn1cncc1C(OCc1c(-c2ccc(OC(F)(F)F)cc2)cc(C#N)c(=O)n1C)c1ccc(C#N)cc1,Ki,316.23
CN(C(=O)C1CCCCC1)c1ccc2c(c1)nc(NC(=O)c1ccc(C#N)cc1)n2C,Ki,630.96
CCN1CCN(c2ccc(Nc3ncc(C#N)c(Nc4ccc5[nH]ncc5c4)n3)cc2)CC1,Ki,1995.26
N#Cc1ccc2nc(N)n(-c3nc4c(s3)CCCC4)c2c1,Ki,1995.26
NC(=O)C1CCCN(C(=O)c2cc(-c3ccc4[nH]ncc4c3)on2)C1,Ki,6309.57
Cc1cc(=O)[nH]nc1-c1ccc(NC(=O)Nc2cc(C(F)(F)F)ccc2F)cc1,Ki,1995.26
Cc1ccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(C(C)C(=O)N(C)C)c5)cnc(N)c34)cc2)cc1,Ki,6309.57
COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1,Ki,3981.07
Cc1cc(C)c2c(n1)sc1c(N)ncnc12,Ki,501.19
CN(C)CCCOc1cc2c(c(-c3ccc(Nc4nc5ccccc5o4)cc3)c1)CNC2=O,Ki,6309.57
CC(=O)Nc1cccc(CNc2c(Nc3ccc4[nH]ncc4c3)c(=O)c2=O)c1,Ki,794.33
Cc1ccc(NC(=O)Nc2ccc(-c3cccc4c3CNC4=O)cc2)cc1C,Ki,6309.57
O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2,Ki,6309.57
COCC(C)(C)CNc1nccc(-c2c(-c3ccc(F)cc3)nc3c(C)nccn23)n1,Ki,6309.57
O=C1CCCN1Cc1ccc2c(c1)[nH]c(=O)c1cccn12,Ki,6309.57
NC(COc1cncc(-c2ccc3[nH]c(=O)oc3c2)c1)Cc1c[nH]c2ccccc12,Ki,7.943
Cn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5ccc(OC(F)F)cc5)cc4)csc23)cn1,Ki,6309.57
Oc1cnc2ccc(-c3ccncc3)cc2c1,Ki,125.89
CC(Nc1nccc(-c2c(-c3ccc(F)cc3)nc3occn23)n1)c1ccccc1,Ki,6309.57
Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(CC(C)O)c5)cnc(N)c34)cc2)c1,Ki,6309.57
CN(C)C1CCCC(Nc2nc(Cl)cc(-c3c[nH]c4ncccc34)n2)C1,Ki,100.0
COc1cc2/c(=N/c3ccc(Br)cc3F)nc[nH]c2cc1OCC1CCN(C)CC1,Ki,1000.0
CC(Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,Ki,1995.26
COCCN(C)C(=O)c1c(-c2ccc3[nH]ncc3c2)nnn1Cc1ccccc1,Ki,125.89
O=c1cc(-c2ccncc2)nc(NC2CCCCC2)[nH]1,Ki,39.81
Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,Ki,1995.26
CCN(CC)CCOc1ccc(-c2nc3c(C(N)=O)cccc3[nH]2)cc1,Ki,1258.93
CC(=O)N1CCN(C2CCC(n3nc(-c4ccc(NC(=O)c5cc6ccccc6n5C)cc4)c4c(N)ncnc43)CC2)CC1,Ki,6309.57
CCCCNC(=O)c1cn(C(CC)CC)c(=O)c2cc(OC)c(OC)cc12,Ki,1995.26
O=C1CC(c2ccc(Cl)cc2Cl)Cc2nc3cc(Cl)ccc3c(O)c21,Ki,6309.57
CCOc1ccccc1C=NNC(=O)c1nnn(-c2nonc2N)c1N1CCCC1,Ki,6309.57
Fc1ccc(-c2nc3occn3c2-c2ccnc(NC3CCNCC3)n2)cc1,Ki,6309.57
O=C(Cc1ccc(Cl)cc1)Nc1[nH]nc2c1CCC2,Ki,2511.89
CC(=O)Nc1cc2ccccn2n1,Ki,79432.82
CC(C)CNC1CCC(Nc2nc(Cl)cc(-c3c[nH]c4ncccc34)n2)CC1,Ki,31.62
Nc1nccc2cnc(-c3ccccc3)n12,Ki,79432.82
Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CCN5CCCC5)cnc(N)c34)cc2)c1,Ki,6309.57
CC(C)c1cc(=O)[nH]c2[nH][nH]c(=O)c12,Ki,15848.93
c1cc2cc(-c3ccc4cn[nH]c4c3)cnc2[nH]1,Ki,199.53
Cc1ccc(C(=O)Nc2c(C(N)=O)sc3ccc(Cl)c(Cl)c23)cc1,Ki,199.53
O=C(Nc1cccc(C(F)(F)F)n1)Nc1ccnc2cc(OC(F)F)ccc12,Ki,1995.26
O=C(O)c1cc2c(-c3cccc(F)c3)cncc2s1,Ki,501.19
O=C(Nc1cccc(Cl)c1)Nc1ncc(CCNc2ncnc3ccsc23)s1,Ki,1995.26
Oc1ccc(Nc2ncnc3scc(Cl)c23)cc1,Ki,794.33
O=C(Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1Cl)c1ccccc1F,Ki,1584.89
CCOc1nc(C(=O)NCc2ccccc2S(N)(=O)=O)cc(N)c1Cl,Ki,6309.57
CC(C)(C)c1cc(NC(=O)Nc2cccc3ccccc23)n(-c2cccc(C(=O)NCC#N)c2)n1,Ki,6309.57
Nc1noc2cccc(-c3cccc(O)c3)c12,Ki,1995.26
CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,Ki,2511.89
CCNc1nc2cc(Cl)c(OC)cc2nc1NCC,Ki,6309.57
CCCCC(=O)Nc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1,Ki,39.81
O=C(Nc1cccc(C(F)(F)F)n1)Nc1ccnc2c(F)ccc(F)c12,Ki,1995.26
CCc1c(-c2ccc(C(C)=O)cc2)[nH]c2nccnc12,Ki,1995.26
CN(C)c1cc2sncc2cc1NC(=O)C(=O)O,Ki,6309.57
Cc1c[nH]c2nccc(Oc3c(F)cc(Nc4cc(Cl)nc(N)n4)cc3F)c12,Ki,1000.0
c1ccc(CNc2nc(Nc3cc(C4CC4)[nH]n3)c3sccc3n2)cc1,Ki,398.11
COc1cccc(C(C)NC(=O)c2ccc(-c3ccncc3)c(C)c2)c1,Ki,6309.57
Cc1ccc(NC(=O)Nc2ccc(-c3coc4ncnc(N)c34)cc2)cc1,Ki,6309.57
Cc1ccc(-n2nc(C)c3c(=O)c4cc(Cl)ccc4n(O)c32)cc1,Ki,6309.57
NC(=O)c1sc2c(Br)ccc(Cl)c2c1N,Ki,125.89
O=c1c(NCc2ccc(Cl)c(Cl)c2)c(Nc2ccncc2)c1=O,Ki,1995.26
COc1cc(C=C2SC(=S)NC2=O)ccc1O,Ki,6.31
CNC(=O)C=Cc1cnc(N)c2c(-c3cc(F)c4[nH]c(C)cc4c3)csc12,Ki,5011.87
COc1cc(S(C)(=O)=O)c(OC)cc1CC(=O)Nc1cc(N)c(C#N)c(OC(C)C)n1,Ki,6309.57
O=C(Nc1cnc2[nH]cc(-c3ccccc3)c2c1)c1c(F)cccc1F,Ki,5011.87
O=c1[nH]ccc2cnc(-c3ccccc3)n12,Ki,63095.73
NC(=O)c1cccc2[nH]c(-c3ccc(C4CCCNC4)cc3F)nc12,Ki,316.23
CCc1cccc(NC(=O)Nc2ccc3c(c2)CCc2sc4ncnc(N)c4c2-3)c1,Ki,794.33
O=c1[nH]c2cc(Br)cnc2[nH]1,Ki,3981.07
CNC(=O)c1cnc(N)c2c(-c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3)csc12,Ki,6309.57
CC(CCC(=O)O)(c1ccc(O)c(N)c1)c1ccc(O)c(N)c1,Ki,1000.0
Cc1cc(Nc2nc(Cl)cc(NCc3ccccc3)n2)n[nH]1,Ki,1995.26
O=C(Nc1cccc(C(F)(F)F)n1)Nc1ccnc2c(Cl)c(Cl)ccc12,Ki,6309.57
Fc1ccc(-c2ncn(CCN3CCOCC3)c2-c2ccc3[nH]ncc3c2)cc1,Ki,6309.57
Cn1c(NCC(N)Cc2ccccc2)nc(-c2ccncc2)c(-c2ccc3ccccc3c2)c1=O,Ki,3981.07
CC(=NNC(=N)N)c1cc(NC(=O)NCCCN(C)CCCNC(=O)Nc2cc(C(C)=NNC(=N)N)cc(C(C)=NNC(=N)N)c2)cc(C(C)=NNC(=N)N)c1,Ki,6309.57
O=C(NCc1ccc(Cl)cc1)c1cc2c(-c3ccccc3)n[nH]c2s1,Ki,2511.89
O=C(NC(CO)c1cc(Cl)cc(Cl)c1)c1ccc(-c2ccncc2)cc1,Ki,6309.57
O=C(NS(=O)(=O)c1ccc(NCCSc2ccc(O)cc2)c([N+](=O)[O-])c1)c1ccc(-c2ccc(F)cc2)cc1,Ki,5011.87
[2H]C([2H])([2H])Oc1cccc(C(C)NC(=O)c2sc(-c3ccncc3)nc2C)c1,Ki,1995.26
Cc1cc(-c2ccccc2)n(-c2cc(NN=Cc3ccco3)ncn2)n1,Ki,6309.57
O=c1c(NCc2ccc(Cl)cc2)c(Nc2ccncc2)c1=O,Ki,6309.57
COc1cc(-c2ccc3c(c2)Nc2ccc(C(=O)NCc4cccc(F)c4)cc2NC3=O)ccc1O,Ki,5011.87
Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(C)c5)cnc(N)c34)cc2)c1,Ki,6309.57
CC(=O)n1ncc2cc(N)ccc21,Ki,79432.82
