canonical_smiles,standard_type,standard_value
Oc1ccc(N=Nc2ccccc2C(F)(F)F)c2cccnc12,AC50,4150.0
C[C@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccc(-c3ccccc3)cc2)Oc2ccc(NS(=O)(=O)c3ccc(F)cc3)cc2CC1=O,AC50,27140.0
Nc1nc2[nH]cnc2c(=S)[nH]1,AC50,1180.0
CCc1cc(-c2[nH]nc(C)c2-c2nc3ccccc3n2C)c(O)cc1O,AC50,40630.0
C[C@H]1CN([C@@H](C)CO)S(=O)(=O)c2ccc(C#Cc3ccccc3F)cc2O[C@@H]1CN(C)CC1CCOCC1,AC50,10440.0
CCSc1nc(-c2ccccc2)nc(C(Cl)Cl)n1,AC50,1950.0
C[C@@H]1CCCCO[C@H](CN(C)C(=O)Nc2ccc(C(F)(F)F)cc2)[C@H](C)CN([C@@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccc(Cl)cc3)ccc2O1,AC50,16430.0
COc1cccc(-c2ccc3c(c2)[C@H]2[C@H](CCN2C(=O)NC2CCCCC2)[C@@H](CO)N3C)c1,AC50,10570.0
O=C(Nc1ccc(F)cc1)N1C[C@@H]2N[C@H](C1)[C@@H]2c1ccc(-c2ccccc2F)cc1,AC50,13840.0
C[C@@H]1CN([C@@H](C)CO)C(=O)Cc2cc(NS(=O)(=O)c3ccc(F)cc3)ccc2O[C@H]1CN(C)Cc1ccc(C(F)(F)F)cc1,AC50,4760.0
COc1ccccc1S(=O)(=O)N(C)C[C@@H]1Oc2cc(C#CCC3CCCC3)ccc2S(=O)(=O)N([C@@H](C)CO)C[C@@H]1C,AC50,6160.0
C[C@@H]1CN([C@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3cccs3)ccc2O[C@@H](C)CCCCO[C@@H]1CN(C)Cc1ccc(C(F)(F)F)cc1,AC50,4550.0
CC(C)(O)/C=C/C(=O)C(C)(O)C1C(O)CC2(C)C3CC=C4C(C=C(O)C(=O)C4(C)C)C3(C)C(=O)CC12C,AC50,260.0
C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccc(Oc3ccccc3)cc2)OCc2ccccc2-c2c(n(C)c3ccccc23)C1=O,AC50,17070.0
CN(C)CC(C(=O)Cc1ccccc1)c1ccccc1,AC50,1710.0
C[C@@H]1CCCCO[C@@H](CN(C)C(=O)Nc2ccc(F)cc2)[C@H](C)CN([C@H](C)CO)C(=O)c2cc(NS(=O)(=O)c3ccc(Cl)cc3)ccc2O1,AC50,6230.0
O=C(C[C@@H]1CC[C@@H]2[C@H](COC[C@@H](O)CN2S(=O)(=O)c2cccc(Cl)c2)O1)Nc1ccc(-c2ccccc2)cc1,AC50,9620.0
N#C[C@@H]1[C@H](c2ccc(C#CC3CCCCC3)cc2)[C@H](CO)N1S(=O)(=O)c1ccccc1,AC50,11140.0
