canonical_smiles,standard_type,standard_value
COc1cccc(/C=N/Nc2ccnc(O)n2)c1O,AC50,669.8
Clc1ccc2nnnc(-c3ccccc3)c2c1,AC50,7814.0
COC(=O)c1c(C)oc2ccc(N(C(=O)c3ccncc3)S(=O)(=O)c3ccc(C)cc3C)cc12,AC50,3849.0
Cc1ccccc1OCCn1c(C)nc2ccccc21,AC50,8104.0
O=C(c1cc(COc2ccc3ncccc3c2)on1)N1CCCCCC1,AC50,5878.0
CC(C)C[C@H]1CN=C(Nc2ccccc2)N1CC1CCC(C(C)(C)C)CC1,AC50,6539.0
C/C(=N/NC(=O)CN(c1ccccc1)S(=O)(=O)c1ccccc1)c1ccccc1O,AC50,2009.0
CC(CC(=O)N1CCN(c2cccc(Cl)c2)CC1)S(=O)(=O)c1ccc2c(c1)NC(=O)CO2,AC50,5649.0
CCCCCn1c(=O)c(C(=O)Nc2nc3ccccc3[nH]2)c(O)c2ccccc21,AC50,6538.0
Cc1csc2nc(NC(=O)c3ccccc3)sc(=O)c12,AC50,260000.0
CCn1c(=O)c([N+](=O)[O-])c(Cl)c2ccccc21,AC50,5017.0
CN1/C(=C\C(=S)NC(=O)c2cccc(Br)c2)C(C)(C)c2ccccc21,AC50,3957.0
Cc1nc2ccccc2n1Cc1ccc(Br)cc1,AC50,2838.0
COc1ccc(-c2nn(-c3ccccc3)cc2/C=N/Nc2ccc3ccccc3n2)cc1OC,AC50,1500.0
CC1=C(CC(=O)c2ccc(Cl)cc2)C(=O)c2ccccc2C1=O,AC50,8255.0
CCCCCc1cc(=O)oc2c(C(CCN3CCCCC3)c3ccc4c(c3)OCO4)c(OC)cc(OC)c12,AC50,8000.0
Oc1ccc(CNc2ccccc2)c2cccnc12,AC50,14430.0
CCOC(=O)c1[nH]c2ccc(Cl)cc2c1N=NN1CCSCC1,AC50,1243.0
C=C(C)C(=O)O[C@H]1C/C(C)=C\C(=O)/C=C(\C)[C@H](O)[C@@H]2OC(=O)C(=C)[C@@H]21,AC50,8022.0
O=C(N/N=C/c1cc(Br)cc(Br)c1O)c1ccncc1,AC50,2640.0
O=C(NNC(=O)c1ccccc1OCc1ccc(F)cc1)c1ccccc1O,AC50,2673.0
Oc1c2c(nc3c(-c4ccc(Cl)cc4)cnn13)CCCC2,AC50,2371.0
Cc1ccc(NC(=O)CCC(=O)N/N=C/c2ccc([N+](=O)[O-])o2)cc1C,AC50,7443.0
COc1ccccc1/C=C/CN1CCC(n2nccc2NC(=O)CCc2ccccc2)CC1,AC50,5750.0
Clc1ccc(SCc2cc(N3CCOCC3)nc(-c3ccccn3)n2)cc1,AC50,2571.0
O=C(N/N=C/c1ccc([N+](=O)[O-])s1)C(O)c1ccccc1,AC50,7843.0
Clc1cccc(NC2=NN=C(c3ccc4c(c3)OCCO4)CS2)c1,AC50,2255.0
CC(O)CNc1nc2sc3c(c2c(=O)n1Cc1ccco1)CCCCC3,AC50,44970.0
C/C(=N\NC(=O)c1nnn(-c2nonc2N)c1CN(C)c1ccccc1)c1ccccc1O,AC50,2146.0
CCn1cc(/C=C/c2cc[n+](C)cc2)c2ccccc21.[I-],AC50,4578.0
Cl.c1ccc(Nc2nc(NCc3ccco3)c3ccccc3n2)cc1,AC50,5140.0
C/C(=N\NC(=O)c1ccccc1Cl)c1ccccn1,AC50,1402.0
COc1ccc(/C=C/C(=O)c2ccc([N+](=O)[O-])o2)cc1OC,AC50,3941.0
Cl.N=c1c2c(n(Cc3ccc(Cl)c(Cl)c3)c3c1CCC3)CCCC2,AC50,2782.0
CC1=NC(C)=C(C(=O)OCCNC(=O)c2ccccc2O)C(c2ccccc2[N+](=O)[O-])/C1=C(\O)OCC1CCCO1,AC50,40570.0
CN(C)CC(C(=O)c1ccccc1)c1ccccc1.Cl,AC50,7431.0
CCC(CO)N1C(C)=CC(=Cc2sc3ccccc3[n+]2Cc2ccccc2)C=C1C.[Br-],AC50,612.6
O=[N+]([O-])c1ccc(/C=N/n2c(CO)nc3ccccc32)s1,AC50,4913.0
O=C(Nc1ccc(N2CCN(Cc3ccccc3Cl)CC2)cc1)c1cccnc1,AC50,4746.0
Cc1ccc(O)c(NC(=S)NC(=O)c2ccc(-c3ccc(Cl)cc3)o2)c1,AC50,16740.0
COC1=C(Nc2ccccc2OC)C(=O)c2ccccc2C1=O,AC50,38330.0
CN1c2ccccc2N(C)C1(C)c1ccccc1,AC50,282.9
O=C(CNc1ccccc1)N/N=C/c1c(O)ccc2ccccc12,AC50,3285.0
CCCCCCOC(=O)C[N+](C)(C)CCOC1CC2CCC1(C)C2(C)C.[Cl-],AC50,4156.0
O=C(O)c1ccc(S(=O)(=O)/N=C2\C=C(Nc3ccccc3F)C(=O)c3ccccc32)cc1,AC50,2612.0
CC(C)(C)c1cc(C(=O)N/N=C/c2ccccc2O)n(-c2ccccc2)n1,AC50,3372.0
O=C(N/N=C/c1cc([N+](=O)[O-])ccc1O)c1cc(-c2ccccc2)nc2ccccc12,AC50,1235.0
CC1(C)Cc2c(c(N3CCOCC3)nc3sc4c(NN)ncnc4c23)CS1,AC50,2081.0
Cn1c(SCC(=O)N/N=C/c2ccc([N+](=O)[O-])s2)nnc1-c1ccc(Cl)cc1,AC50,9331.0
