canonical_smiles,standard_type,standard_value
C[C@@H](C(=O)O)c1ccc(C(=O)c2ccccc2)s1,Potency,12589.3
CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@H]2c3cccc4[nH]cc(c34)C[C@@H]21,Potency,5011.9
CC(C)(C(=O)c1cccnc1)c1cccnc1,Potency,1258.9
CCC/C=C(\CCC)C(NS(C)(=O)=O)c1ccccc1,Potency,31622.8
C=CC[C@@H]1C=C[C@H](O/N=C(\C)CCN2CCCc3nc(C)c(C)cc32)[C@H](CO)O1,Potency,2511.9
c1ccc(C(c2ccccc2)N2CC3(CCNCC3)C2)cc1,Potency,15848.9
CCCCOC(OCCCC)[C@H](O)CSc1ccc2ccccc2c1,Potency,5011.9
CCC1OC(=O)C(C)C(=O)C(C)[C@@H](OC2OC(C)CC(N(C)C)C2O)C(C)(OC)C2(CCCn3cnc(-c4cccnc4)c3)CC(C)C(=O)C(C)C3N(C2)C(=O)O[C@]13C,Potency,31622.8
CC(CCc1nc2ccccc2s1)(c1ccc(O)cc1)c1ccc(O)cc1,Potency,3981.1
c1ccc(Nc2ncnc3ccc(-c4ccoc4)cc23)cc1,Potency,15848.9
O=c1c(-c2cc(F)cc(F)c2)nc2cnc(N3CCNCC3)nc2n1CCc1ccccc1,Potency,15848.9
COCCn1c(=O)c(-c2cn(C)c3ccccc23)nc2cnc(Oc3ccccc3)nc21,Potency,3162.3
CCCn1c(C)nc2c(NC3CCCCC3)nc(C)nc21,Potency,12589.3
CCCCCCCCCCCC(CC1OC(=O)C1CCCCCC)OC(=O)C(CC(C)C)NC=O,Potency,501.2
CNc1ccnc(-c2c(C)noc2C)n1,Potency,39810.7
O=C1O/C(=C\Br)CC[C@@H]1c1cccc2ccccc12,Potency,3981.1
COc1ccc(CNc2cc(-c3ccccc3Cl)ncn2)c(OC)c1,Potency,6309.6
COc1ccc(C(=O)N2CCC3(CCCN(CC(C)C)C3)CC2)cc1,Potency,25118.9
CN(C)c1ncc2ncc(=O)n(Cc3ccc(F)cc3)c2n1,Potency,3162.3
COc1cc2c(cc1OC)C1Cc3ccc(OC)c(OC)c3CN1CC2,Potency,31622.8
C[C@@H](C(=O)Nc1ccc2ccccc2c1)[C@@H]1C[C@@]1(C)[C@@H](N)c1ccccc1,Potency,7943.3
CCc1cc2c(nc1CC)CCN(CC/C(C)=N/O[C@@H](C)c1cc(-c3c(C)cc(C)cc3C)no1)C2,Potency,3981.1
CCCCNC(=O)C(c1ccc(OCC(=O)OC)c(C(=O)OC)c1)N(CCOC)C(=O)CCCCCN1C(=O)NC(c2ccc(-c3ccccc3)cc2)C(C(=O)OCc2ccccc2)=C1C,Potency,3162.3
NC(Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(=O)O,Potency,31622.8
CON(C)C(=O)c1nnc2c3ccccc3n(S(=O)(=O)c3ccc(C)cc3)c2n1,Potency,3162.3
CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,Potency,15848.9
CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1.Cl,Potency,15848.9
Cn1c(N)c(C(=O)COC(=O)c2ccnc3ccccc23)c(=O)n(C)c1=O,Potency,15848.9
COc1ccc(Oc2ncc3nc(-c4ccccc4)c(=O)n(C4CC4)c3n2)cc1,Potency,3981.1
COC(=O)[C@@]1(Cc2ccccc2)[C@H]2c3cc(C(=O)N4CCCC4)n(Cc4ccc(OC)c(OC)c4)c3C[C@H]2CN1C(=O)c1ccccc1,Potency,1258.9
CC(=O)[C@@]1(O)CC[C@H]2[C@H]3C[C@@H](C)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]21C,Potency,5011.9
CC(CCC(=O)O)C1CCC2C3C(O)C[C@@H]4CC(O)CC[C@@]4(C)C3CC[C@@]12C,Potency,39810.7
COc1ccc2c(=O)cc(-c3ccncc3)oc2c1OC,Potency,3981.1
C[C@@H](C(=O)Nc1ccc2ccccc2c1)[C@H]1C[C@]1(C)[C@H](NC(=O)c1cnccn1)c1ccccc1,Potency,631.0
CC(=O)OC[C@H]1O[C@@H](O/N=C(\C)CCN2CCCc3nc(C)c(C)cc32)[C@H](OC(C)=O)[C@@H](OC(C)=O)[C@H]1OC(C)=O,Potency,3981.1
O=C(Nc1ccccc1)OC[C@H](CN1CCCCC1)OC(=O)Nc1ccccc1,Potency,7943.3
C[C@@H](C(=O)Nc1ccc2ccccc2c1)[C@@H]1C[C@@]1(C)[C@@H](NC(=O)c1cnccn1)c1ccccc1,Potency,1000.0
CCC(=O)N[C@@H]1Cc2ccccc2[C@@H](c2ccccc2)C1,Potency,15848.9
CC1(C)S[C@@H]2[C@H](NC(=O)[C@@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O[C@H]1OC(=O)c2ccccc21,Potency,1584.9
COC(=O)[C@@]1(Cc2ccc(F)cc2)[C@H]2c3cc(C(=O)N(C)C)n(Cc4ccccc4)c3C[C@H]2CN1C(=O)c1ccccc1,Potency,1258.9
CC(=O)N1[C@H](Cc2ccccc2)C=C[C@]1(C)C(=O)NCc1cc(F)cc(C(F)(F)F)c1,Potency,6309.6
COc1cccc(Cn2c(=O)c(-c3cc(F)cc(F)c3)nc3cnc(OC)nc32)c1,Potency,7943.3
O=[N+]([O-])c1ccc2nc(N3CCNCC3)ccc2c1,Potency,10000.0
COC(=O)CN1CN(c2ccccc2)C2(CCN(Cc3ccc4ccccc4c3)CC2)C1=O,Potency,15848.9
O=C(c1cccc(F)c1)N1CCC2(CC1)CN(c1ncccn1)C2,Potency,25118.9
COCC/N=C1\OC(=O)N2C(=O)C3=C4[C@@H](C[C@H]5C(=O)N(CC(=O)OC)C(=O)[C@H]5[C@H]4[C@@]12Cc1ccccc1)[C@H]1C(=O)N(CC(=O)OC)C(=O)[C@H]1[C@H]3C,Potency,15848.9
C=CCC(O)CC1C2C(CC(O)CC=C)C3C1C3C2OC(C)(C)C,Potency,1584.9
COc1ccc(CNc2ncnc3ccc(-c4ccc5c(c4)OCO5)cc23)c(OC)c1,Potency,794.3
C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1,Potency,501.2
CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)O)OCC3,Potency,3162.3
C[C@](O)(c1ccccc1)c1nccc2ccccc12,Potency,3162.3
N#CCCn1c(=O)c(-c2cc(F)cc(F)c2)nc2cnc(Oc3cccc(Cl)c3)nc21,Potency,10000.0
CCc1ccccc1OC[C@H](O)CN[C@@H]1CCc2ccccc2C1,Potency,15848.9
Cc1cccc(CNc2ncnc3ccc(-c4ccc(C(=O)N(C)C)cc4)cc23)c1,Potency,1995.3
COc1ccc(C(C)=O)c(O)c1,Potency,1258.9
O=C(Oc1ccccc1)N1CCC2(CC1)CCN(c1ccccn1)CC2,Potency,2511.9
CC(C)=CCOc1cc2oc(=O)ccc2cc1O,Potency,39810.7
O=c1c(-c2cccc(Cl)c2)nc2cncnc2n1C1CC1,Potency,15848.9
O=c1cccc2n1C[C@H]1CNC[C@H]2C1,Potency,31622.8
FC(F)(F)c1ccccc1-c1cncnc1NCc1ccccc1,Potency,125.9
CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1.Cl,Potency,31622.8
COC(=O)[C@H]1C[C@@H]1[C@H](NS(=O)(=O)c1ccc2ccccc2c1)c1ccccc1,Potency,15848.9
Cc1c2cnccc2c(C)c2c1c1ccccc1n2CCOC(=O)c1ccccc1,Potency,631.0
O=S(=O)(c1cccc2c(Cl)cccc12)N1CCCNCC1,Potency,3981.1
CCOC(=O)c1c(C)cc(O)c(C=O)c1O,Potency,39810.7
COC(=O)C1OC(=O)C2O[C@@]23[C@]2(C)C(OC(C)=O)CC4C(C)(C)C(=O)CC[C@]4(C)C2CC[C@@]13C,Potency,39810.7
CN(CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(=O)O)cc1)c1ccccn1,Potency,3162.3
COc1cc(OC)c(C(=O)CCCCN2CCC3(CC2)NC(=O)NC3=O)cc1NS(=O)(=O)c1ccc(C(F)(F)F)cc1,Potency,7943.3
CC(C)c1cccc2nc3c(c([Si](C)(C)C)c12)Cn1c-3cccc1=O,Potency,10000.0
CN(C)C(=O)c1ccc(-c2nccc(-n3ccnc3)n2)cc1,Potency,3162.3
S=C(NC1CCCCC1)N1CCC(c2cnc[nH]2)CC1,Potency,631.0
O=c1c(-c2cc(F)cc(F)c2)nc2cnc(N3CCNCC3)nc2n1Cc1cccs1,Potency,10000.0
COc1ccc(C(=O)N2CCC[C@@]3(CCN(c4ccncc4)C3)C2)cc1,Potency,1258.9
COc1ccccc1-c1cncnc1NCc1cnc(C)cn1,Potency,1258.9
CC(=O)N1[C@H](Cc2ccccc2)C=C[C@]1(C)C(=O)NCCN1CCOCC1,Potency,15848.9
COc1ncc2nc(-c3ccc(F)cc3)c(=O)n(CCC#N)c2n1,Potency,15848.9
CCNc1ncc2nc(-c3cccc(C#N)c3)c(=O)n(CCC#N)c2n1,Potency,7943.3
COCCNC(=O)[C@@]1(C)C=C[C@@H](Cc2ccccc2)N1C(=O)c1ccccc1,Potency,7943.3
Clc1ccccc1-c1nccc(NCCN2CCOCC2)n1,Potency,15848.9
C[C@@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@@]4(C)[C@]3(F)[C@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,Potency,12589.3
