canonical_smiles,standard_type,standard_value
Cc1nn(CC(=O)Nc2c(F)c(F)cc(F)c2F)c(=O)c2cccn12,EC50,150000.0
CC(=O)c1cccc(OC(=O)c2ccc3c(=O)n4c(nc3c2)CCC4)c1,EC50,12648.0
CCOc1ccc(-n2c(C)cc(/C=C3/C(=N)N4C(=NC3=O)SN=C4S(C)(=O)=O)c2C)cc1,EC50,599.0
COc1ccc(NC(=O)c2cc(-c3cc(C)cc(C)c3O)[nH]n2)cc1Cl,EC50,2412.0
Oc1ccc(CN2CCN(c3ccccc3)CC2)c2cccnc12,EC50,5476.0
COc1cc(OC)cc(C(=O)Nc2nc3ccccc3[nH]2)c1,EC50,7142.0
Cc1ccc(/C=C2/Sc3ccc(C(=O)N4CCN(C)CC4)cc3NC2=O)cc1,EC50,7175.0
C[C@@H](O)[C@H]1C(=O)N2C(C(=O)O)=C(S[C@@H]3CN[C@H](C(=O)N(C)C)C3)[C@H](C)[C@H]12,EC50,153.0
COc1ccc(-c2nn(-c3ccccc3)cc2/C=C2/SC(=S)N(CCC(=O)O)C2=O)cc1,EC50,2141.0
O=C1CC2c3ccccc3CCN2C(=O)C1/C=N/OCc1ccc(C(F)(F)F)cc1,EC50,3936.0
C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23.O,EC50,2103.0
Cc1cc2nc(CSc3ccccc3)cc(O)n2n1,EC50,4139.0
CC(C(=O)NC1C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CSC12)n1cc(Br)cn1,EC50,101.0
COCCCn1c(=O)/c(=C\c2ccccc2OC(C)C)s/c1=C(/C#N)C(=O)Nc1ccc(C(=O)O)cc1,EC50,1435.0
COc1ccc(OC)c(N/C=C2/C(=O)NC(=S)N(Cc3ccccc3)C2=O)c1,EC50,150000.0
Oc1c(/C=N/c2cccc3cccnc23)sc2ccccc12,EC50,7697.0
Cc1ccccc1NC(=O)C(=O)NC(C)CCc1ccccc1,EC50,150000.0
O=C(Nc1nnc(C2CC2)o1)c1ccc(S(=O)(=O)N2CCCc3ccccc32)cc1,EC50,2458.0
CC(C)c1c(C(=O)N/N=C/c2cccc(OCc3ccccc3)c2)nnn1-c1nonc1N,EC50,8031.0
COc1cc(NC(=O)CSc2ncnc3sc4c(c23)CCCC4)c(C(=O)O)cc1OC,EC50,20761.0
CC(C)=CCCC1(C)C=Cc2c(ccc3c2[nH]c2cc(O)c(C)cc23)O1,EC50,2312.0
Clc1ccc(-c2nnnn2-c2ccc(Cl)c(Cl)c2)cc1Cl,EC50,9570.0
