canonical_smiles,standard_type,standard_value
Cc1cccc(-c2[nH]c(-c3ccnc(N)n3)cc2C(N)=O)c1C,Ki,501.19
COc1ccc(CNc2c(Nc3ccncc3)c(=O)c2=O)c(OC)c1,Ki,7943.28
Nc1ncnc2onc(-c3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3)c12,Ki,7943.28
COc1ccc(OC)c(Nc2ccc3nnc(-c4ccccc4)n3n2)c1,Ki,5011.87
O=c1ncn2nc(Sc3ccc(F)cc3F)ccc2c1-c1c(Cl)cccc1Cl,Ki,7943.28
N#CCOc1ccc(Nc2nc(Nc3cccc(S(N)(=O)=O)c3)ncc2Br)cc1,Ki,7.943
CCCn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1,Ki,7943.28
COc1cccc(C(=O)Nc2n[nH]c3ccc(-c4cn(Cc5ccccc5)nn4)cc23)c1,Ki,39.81
O=C1Nc2ccccc2Nc2cc(-c3ccncc3F)ccc21,Ki,398.11
CCOc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1Cl,Ki,7943.28
c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1,Ki,5011.87
Cc1cc(N2CCOCC2)cc2[nH]c(-c3c(NCC(O)c4cccc(Cl)c4)cc[nH]c3=O)nc12,Ki,3162.28
NC(=O)c1sc(-n2cnc3ccccc32)cc1OCc1ccccc1C(F)(F)F,Ki,7943.28
c1ccc(Cn2cc(-c3ccc4[nH]ncc4c3)nn2)cc1,Ki,251.19
CC(=O)Nc1c(C(N)=O)sc2ccc(Cl)c(Cl)c12,Ki,1995.26
Cc1cccc(NC(=O)Nc2ccc(-c3csc4nc(N)nc(N)c34)cc2)c1,Ki,7943.28
COc1cccc(C(=O)Nc2cnc3[nH]cc(-c4ccccc4)c3c2)c1,Ki,7943.28
CCCC(=O)Nc1n[nH]c2ccc(-c3nnn(Cc4ccccc4)c3-c3ccccc3)cc12,Ki,100.0
Cc1cccc(NC(=O)Nc2ccc(-c3cccc(C(N)=O)c3)cc2)c1,Ki,7943.28
NC1CCCCC1Nc1nccc(-c2c[nH]c3ncccc23)n1,Ki,12.59
Cc1c(C)n(Cc2ccccc2)c2ccc(C(=O)Nc3nc[nH]n3)cc12,Ki,7943.28
NC(COCc1ccccc1)COc1cncc(C=Cc2ccncc2)c1,Ki,7943.28
c1ccc(Cn2cc(-c3ccc4[nH]nc(-c5cn(Cc6ccccc6)nn5)c4c3)nn2)cc1,Ki,5.012
CCn1c2cc(Cl)c(O)cc2c(=O)c2c(=O)o[nH]c21,Ki,7943.28
CC1(C)CC2=Nc3cc(Cl)ccc3SC2=C(O)C1,Ki,6309.57
O=C(O)c1ccccc1Nc1ccnc(Nc2ccc3cn[nH]c3c2)n1,Ki,50.12
O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2,Ki,251.19
CC(C)(CO)CNc1nccc(-c2c(-c3ccc(F)cc3)nc3c(OCC(F)(F)F)nccn23)n1,Ki,7943.28
COCCNc1nccc(-c2c(-c3ccc(F)cc3)nc3cnccn23)n1,Ki,7943.28
O=C(Nc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1)c1ccccc1,Ki,3162.28
Nc1ncnn2ccc(C(=O)Nc3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,Ki,7943.28
OC1CCC(Nc2nc(Cl)cc(-c3c[nH]c4ncccc34)n2)CC1,Ki,12.59
Cc1nc2ccc(NS(=O)(=O)c3ccc(N)cc3)cc2nc1C,Ki,5011.87
CN(C)CCCOc1cc(-c2ccncc2)cc2[nH]nc(N)c12,Ki,3162.28
OC(COc1cncc(C=Cc2ccncc2)c1)Cc1c[nH]c2ccccc12,Ki,7943.28
CCn1c(C)c(-c2ccnc(Nc3cccc(OC)c3)n2)sc1=O,Ki,19.95
CSc1c[nH]c2ncnc(NCCCO)c12,Ki,3162.28
CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,Ki,794.33
CC(C)(CNc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1)CNS(C)(=O)=O,Ki,199.53
O=C(Nc1cnccn1)Nc1ccnc2c(F)cccc12,Ki,251.19
CCC1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,Ki,7943.28
COc1ccccc1C(=O)Nc1n[nH]c2ccc(-c3cn(Cc4ccccc4)nn3)cc12,Ki,251.19
O=C(NCc1ccccc1)Nc1ncc([N+](=O)[O-])s1,Ki,2511.89
O=C(NCc1ccc(Cl)c(Cl)c1)Nc1ccc2[nH]ncc2c1,Ki,7943.28
CNC(=O)c1cc2c(-c3ccccc3F)n[nH]c2s1,Ki,5011.87
CNC(=O)C(C)n1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5ccc(C)cc5)cc4)csc23)cn1,Ki,7943.28
COc1cc2c(N3CCN(C(=O)Nc4ccc(OC(C)C)cc4)CC3)ncnc2cc1OCCCN1CCCCC1,Ki,7943.28
OCCNc1cc2cc(-c3cccnc3)ccc2cn1,Ki,125.89
Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,Ki,7943.28
NS(=O)(=O)c1cccc(Nc2ncc3ccn(-c4ccccc4)c3n2)c1,Ki,25.12
Cc1cc(O)ccc1-n1c2cc(Cl)ccc2c(=O)c2c(N)nc(N)nc21,Ki,794.33
O=C1CCCc2oc3cc(C(F)(F)F)ccc3c(=O)c21,Ki,7943.28
