canonical_smiles,standard_type,standard_value
CC(C)Cc1nnc(N)s1,Inhibition,-13.23
O=c1nc2onnc2c(/C=N\O)[nH]1,Inhibition,-3.06
Cc1cc(S)nc(S)n1,Inhibition,-0.35
c1ccn(CCc2ccncc2)c1,Inhibition,-5.95
CSc1nc(C)cc(S)n1,Inhibition,-4.48
CN1CCC(c2c[nH]c3ccccc23)C1,Inhibition,10.07
CCOC(=O)c1c[nH]nc1O,Inhibition,1.44
C(=C/c1ccncc1)\c1ccncc1,Inhibition,-3.12
Nc1nc2c[nH]c(N)nc-2n1,Inhibition,-2.1
Oc1cccc2cnccc12,Inhibition,3.35
O=C1NCN(CCO)CN1,Inhibition,-3.9
C=C(C)C/N=C/C1(C)CCC(C)=CO1,Inhibition,19.3
OCC1CN1C1CCCCC1,Inhibition,-2.3
CCC1(CC)C(=O)NC(=S)N=C1N,Inhibition,-2.67
CCN1CC2C3CCC(C)(O3)C2C1,Inhibition,-3.82
CC(C)=NNc1ncnc2[nH]cnc12,MIC,10000.0
CSc1nc(O)cc(Cl)n1,Inhibition,-0.01
CC(C)(C)N=C(S)NC(C)(C)C,Inhibition,-0.12
C=CCNC(=S)NCC=C,Inhibition,2.25
Oc1ccccc1Nc1ccccn1,Inhibition,-3.55
Oc1cc(-c2nn[nH]n2)nc(O)n1,Inhibition,0.69
CC1=NC(C)(C)CC2CCC(O)C12,Inhibition,-2.24
Nc1c(Cl)ncnc1NCCO,Inhibition,-0.36
C=CCOC(=O)/C=C\C(=O)NC(N)=O,Inhibition,0.75
CCCCCC(=O)N1CCCC1,Inhibition,-1.54
Oc1ccc2c(ccc3[nH]cnc32)c1,Inhibition,-9.86
CC(C)n1cnc2c(S)ncnc21,Inhibition,-6.64
O=C(O)CCNC1CCCCC1,Inhibition,-1.65
CCC(=Cc1ccc(CC)cn1)CC,Inhibition,-5.56
Clc1[nH]cnc2nccc1-2,Inhibition,-2.5
CC1=C(c2ccccc2)C=NNCC1=O,Inhibition,-8.22
CCSc1nc(C)cc(S)n1,Inhibition,-6.0
CN1CCCC1c1ccc(O)nc1,Inhibition,-7.69
Cc1nccc2c1[nH]c1cc(O)ccc12,Inhibition,-8.88
c1ccc2c(c1)cnc1ccccc12,Inhibition,-7.16
O=C(c1ccccc1)c1ccc[nH]1,Inhibition,18.91
Nc1ccnn1-c1ccccc1,Inhibition,-2.01
CCOCc1cc(O)nc(SC)n1,Inhibition,-4.91
c1ccc(-c2cn3ccccc3n2)cc1,Inhibition,-2.58
CCOC(=O)Nc1csnn1,Inhibition,-5.84
Cc1n[nH]c(SCC(=O)O)n1,Inhibition,-0.18
[O-][n+]1nc2ccccc2c2ccccc21,Inhibition,8.25
O=C(O)/C=C\C(=O)Nc1nccs1,Inhibition,-1.21
C1CC2NCCC3NCCC(N1)N32,Inhibition,-3.22
c1cc(C2N3CCCN2CC3)ccn1,Inhibition,-3.06
COC(=O)c1cncc(C)c1,Inhibition,-1.27
OC1(Cc2ccccc2)CCNCC1,Inhibition,-0.07
COc1cccc(-c2nnc(N)o2)c1,Inhibition,-2.41
c1ccc(C2NCCc3[nH]cnc32)cc1,Inhibition,13.69
CN(C)P(=O)(N(C)C)N1CC1,Inhibition,-11.15
Oc1cccc2nc3ccccc3nc12,MIC,10000.0
OCc1ncccc1O,Inhibition,0.67
Cc1ccncc1C(N)=O,Inhibition,-4.15
NCCN1CCNCC1,Inhibition,4.22
CCCCCc1cccnc1,Inhibition,-0.18
Nc1nc(=S)ss1,Inhibition,-5.25
Oc1ccc(Cl)nn1,Inhibition,1.34
N#CNC(=N)c1ccccc1,Inhibition,22.72
O=C1COc2cccnc2N1,Inhibition,-2.63
CC(C)(C)N1CCC1CN,Inhibition,-5.34
C=CCNC(S)=NCC,Inhibition,-1.87
Cc1ccn(C)c(=N)c1,Inhibition,-0.88
O=Cc1c[nH]c2ncccc12,Inhibition,-7.37
N#CC12CNCC1CN=N2,Inhibition,19.07
O=[N+]([O-])c1cc(-c2cccnc2)[nH]n1,Inhibition,-1.42
Nc1nc(N)nc(C2C=CCCC2)n1,Inhibition,-8.05
Cn1ncc2c(O)nc(N)nc21,Inhibition,20.28
NC(=O)NC1NC(=O)NC1=O,Inhibition,-7.8
Nc1cc(-c2ccccc2)ccc1O,Inhibition,-0.33
Nc1n[nH]c(CO)n1.O=C(O)CO,Inhibition,-5.13
C(=C/c1ccccn1)\c1ccccn1,Inhibition,26.47
CC(Cc1ccccc1)NC(N)=O,Inhibition,-7.14
CC(C)(C)CC(C)(C)n1nnnc1N,Inhibition,-5.24
CC(C)(C(N)=O)c1ccccc1,Inhibition,-2.3
CCCCN1CCN=C1S,Inhibition,-2.57
Cc1nc(C(N)=O)nc2ccccc12,Inhibition,1.62
CCSc1ncc(CO)c(N)n1,Inhibition,1.67
O=C1c2ccccc2C(=O)c2[nH]cnc21,Inhibition,21.89
c1ccc(-c2cc3ccccc3[nH]2)cc1,Inhibition,-3.77
O=c1[nH]cc(Cl)cc1Cl,Inhibition,0.46
CCNc1ccccc1C(=O)O,Inhibition,2.27
O=C(O)c1ccc(O)c(O)c1,Inhibition,-4.26
O=C1OCC/C1=C\c1ccc(O)cc1,Inhibition,0.19
Sc1cnnc2ccccc12,Inhibition,22.39
CC(=O)/C=C(\C)Nc1ccccc1O,Inhibition,2.5
Oc1ccc(/C=C\c2cnccn2)cc1,Inhibition,-11.21
CC(=O)Nc1cccc(NC(C)=O)n1,Inhibition,-1.6
N=C(N)Nc1ccc(NC(=N)N)cc1,Inhibition,-0.62
CC(=O)NC1(C(=O)O)CCCC1,Inhibition,0.8
CCC1CCC(C)N(N=O)C1,Inhibition,-1.16
CCCSc1ncnc2[nH]ncc12,Inhibition,-5.45
C[C@H]1CC[C@H]2NCCN[C@H]2C1,Inhibition,-10.77
CCN1CCc2ccccc2C1,Inhibition,-10.24
Sc1nc2c[nH]c(S)nc-2n1,Inhibition,-7.36
Cn1c2c(sc1=O)CCC2,Inhibition,-0.94
CC(=O)NCC1(O)CCCC(C)C1,Inhibition,-5.78
O=C(O)CCc1cccnc1,Inhibition,-2.51
CCOC(=O)C(=O)Cc1cccnn1,Inhibition,-1.54
CC1=CC(=O)Nc2cncnc2N1,Inhibition,0.91
C=CCOCCN(CC)CC,Inhibition,15.03
N#CCCCCN1CCCC1,Inhibition,-2.95
Nc1cc(O)nc2ncnn12,Inhibition,-4.53
Cc1cc2nc(CS)[nH]c2cc1C,MIC,10000.0
Oc1ccnc2c(Cl)cccc12,Inhibition,14.14
CO/N=C1/C=C(C)C(=O)C(C)=C1C,Inhibition,-4.8
CN1N=C/C(=C/NC(N)=O)C1=O,Inhibition,-3.93
CCOC(=O)c1c(O)cc(C)nc1O,Inhibition,13.8
CCSc1nc(C)c(C)c(O)n1,Inhibition,-10.18
Cc1nc2[nH]c(=O)n(O)c(=O)c2s1,Inhibition,-6.64
O=C(O)/C(Cc1c[nH]nn1)=N\O,Inhibition,-5.01
OCc1ncc(-c2ccccc2)s1,Inhibition,-4.82
COc1ccc2c(C)cc(C)nc2n1,Inhibition,-1.59
CCCCc1c(C)nc(S)nc1O,Inhibition,-3.51
Oc1ccc2ccc3[nH]cnc3c2c1,Inhibition,-8.68
NC(S)=Nc1cccc(Cl)c1,Inhibition,-2.86
OCc1cc(O)c(CO)nn1,Inhibition,1.1
C#CC(C)OCC1CNC(=S)O1,Inhibition,15.9
NC(=O)c1nc2c([nH]c1=O)CCCC2,Inhibition,-4.35
O=C(O)c1cnn2c(S)ncnc12,Inhibition,-3.32
N[C@H](C(=O)O)[C@H]1ON=C(Cl)[C@@H]1O,Inhibition,-3.55
O=C(O)C(=O)Nc1nc[nH]n1,MIC,10000.0
Cn1cc(C=O)c2nccnc21,Inhibition,2.98
CN(C)Cc1c[nH]c2nccnc12,Inhibition,2.55
CCCCC(=O)N(CCC)CCC,Inhibition,-14.22
C#CC1(N2CCCCC2)CCCCC1,Inhibition,-12.88
CC(C)(C)N1CC(OC(N)=O)C1,Inhibition,-9.34
NC(=O)Oc1cccc(OC(N)=O)c1,Inhibition,-9.78
Sc1nc2ccccc2n2cccc12,Inhibition,-1.74
Cn1c(CO)cnc1-c1ccccc1,Inhibition,-3.98
CC1=NCC(C)c2ccccc21,Inhibition,-2.64
Cc1ccn2c(C(C)O)nnc2c1,Inhibition,-15.94
CC1=C(C#N)C(C)(C)C(C#N)=C(C)N1,Inhibition,-14.16
CC1CC(C)(C)C2=NCCN21,Inhibition,-11.0
Nc1nc2cc([N+](=O)[O-])ccc2[nH]1,Inhibition,-13.6
Cc1ccc2c(c1)sc1nncn12,Inhibition,-11.46
O=[N+]([O-])c1ccc(/C=[N+](\[O-])CCO)o1,MIC,10000.0
COc1cc(CCC(=O)O)on1,Inhibition,-11.79
Cc1cnc2c(N)cc(C)c(C)c2c1,Inhibition,-10.43
