canonical_smiles,standard_type,standard_value
COc1cc(-c2nn(C3CCC(N4CCN(C(C)=O)CC4)CC3)c3ncnc(N)c23)ccc1NC(=O)c1cc2ccccc2n1C,Ki,158.49
Cc1c(C=O)c(O)n2c(nc3ccccc32)c1C#N,Ki,6309.57
CC(=O)N(c1ccncc1)c1c(NC(C)C(C)(C)C)c(=O)c1=O,Ki,5011.87
c1cnc2nc(-c3ccc4[nH]ncc4c3)c(NC3CCCCC3)n2c1,Ki,6309.57
COc1ccc(CNC(=O)Nc2ncc([N+](=O)[O-])s2)cc1,Ki,6309.57
COc1cncc(C=Cc2ccncc2)c1,Ki,6309.57
CCCCNc1nc(N)c(C(=O)c2ccccc2)s1,Ki,3981.07
CN1CCC1COc1cncc(CCc2ccncc2)c1,Ki,6309.57
Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4cccc(Cl)c4)c3)cc12,Ki,199.53
Cc1cc(C)c(C=C2C(=O)Nc3ccccc32)[nH]1,Ki,39.81
CCCc1cc(-c2ccc3[nH]ncc3c2)on1,Ki,2511.89
Cc1n[nH]c2ccc(-c3cncc(OCC(N)Cc4c[nH]c5ccccc45)c3)cc12,Ki,630.96
COc1cccc(S(=O)(=O)Nc2ccc3c(c2)C(=NO)c2ccccc2-3)c1,Ki,6.31
NC(COc1cncc(C=Cc2ccncc2)c1)Cc1ccccc1,Ki,6309.57
Fc1cccc(CNc2ncnc3[nH]cnc23)c1,Ki,15848.93
NC1CCC(Nc2nc(Cl)cc(-c3c[nH]c4ncccc34)n2)CC1,Ki,251.19
Cc1cccc(Nc2nccc(Nc3c(NC(C)C(C)(C)C)c(=O)c3=O)n2)c1,Ki,19.95
CC(C)c1nnc2ccc(-c3c(-c4ccc(F)cc4F)nc4occn34)nn12,Ki,6309.57
COc1cc(C=O)c(Cl)cc1NC(=O)Nc1cnc(C#N)cn1,Ki,6309.57
O=C1Nc2cc(CCOc3ccc(N4CCOCC4)cc3)ccc2Nc2cc(-c3cn(Cc4cc(F)c(F)c(F)c4)c4cnccc34)ccc21,Ki,6309.57
CC(=O)N1CCC(Nc2nccc(-c3c(-c4ccc(F)cc4)nc4occn34)n2)CC1,Ki,6309.57
O=c1nc(-c2ccc3[nH]ncc3c2)cc(-c2ccccc2)[nH]1,Ki,1584.89
COc1cccc(C(C)NC(=O)c2cnc(-c3ccncc3)nc2)c1,Ki,3981.07
