canonical_smiles,standard_type,standard_value
Cc1cccc(-c2[nH]c(-c3ccnc(N)n3)cc2C(N)=O)c1C,Ki,3981.07
COc1ccc(CNc2c(Nc3ccncc3)c(=O)c2=O)c(OC)c1,Ki,6309.57
Nc1ncnc2onc(-c3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)cc3)c12,Ki,7943.28
COc1ccc(OC)c(Nc2ccc3nnc(-c4ccccc4)n3n2)c1,Ki,7943.28
CCCn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1,Ki,7943.28
COc1cccc(C(=O)Nc2n[nH]c3ccc(-c4cn(Cc5ccccc5)nn4)cc23)c1,Ki,3162.28
O=C1Nc2ccccc2Nc2cc(-c3ccncc3F)ccc21,Ki,1000.0
CCOc1nc(C(=O)NCc2ccc(S(C)(=O)=O)cc2)cc(N)c1Cl,Ki,7943.28
c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1,Ki,19952.62
CC(=O)Nc1c(C(N)=O)sc2ccc(Cl)c(Cl)c12,Ki,3981.07
Cc1cccc(NC(=O)Nc2ccc(-c3csc4nc(N)nc(N)c34)cc2)c1,Ki,7943.28
COc1cccc(C(=O)Nc2cnc3[nH]cc(-c4ccccc4)c3c2)c1,Ki,7943.28
CN(C)CCCN(C)C(=O)c1cccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2cccc3ccccc23)c1,Ki,1258.93
Cc1cccc(NC(=O)Nc2ccc(-c3cccc(C(N)=O)c3)cc2)c1,Ki,7943.28
NC1CCCCC1Nc1nccc(-c2c[nH]c3ncccc23)n1,Ki,25.12
Cc1c(C)n(Cc2ccccc2)c2ccc(C(=O)Nc3nc[nH]n3)cc12,Ki,251.19
NC(COCc1ccccc1)COc1cncc(C=Cc2ccncc2)c1,Ki,125.89
c1ccc(Cn2cc(-c3ccc4[nH]nc(-c5cn(Cc6ccccc6)nn5)c4c3)nn2)cc1,Ki,7943.28
CCn1c2cc(Cl)c(O)cc2c(=O)c2c(=O)o[nH]c21,Ki,7943.28
O=C(O)c1ccccc1Nc1ccnc(Nc2ccc3cn[nH]c3c2)n1,Ki,1000.0
Nc1ncnn2ccc(C(=O)Nc3ccc(NC(=O)Nc4cccc(F)c4)cc3)c12,Ki,7943.28
c1ccc(Nc2ncnc3ccccc23)cc1,Ki,39810.72
Cc1nc2ccc(NS(=O)(=O)c3ccc(N)cc3)cc2nc1C,Ki,7943.28
OC(COc1cncc(C=Cc2ccncc2)c1)Cc1c[nH]c2ccccc12,Ki,398.11
CSc1c[nH]c2ncnc(NCCCO)c12,Ki,5011.87
CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(N)c1C#N,Ki,7943.28
CC(C)(CNc1cc(-c2c[nH]c3ncccc23)cc(Cl)n1)CNS(C)(=O)=O,Ki,199.53
O=C(Nc1cnccn1)Nc1ccnc2c(F)cccc12,Ki,7943.28
CCC1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,Ki,7943.28
COc1ccccc1C(=O)Nc1n[nH]c2ccc(-c3cn(Cc4ccccc4)nn3)cc12,Ki,7943.28
CN1c2ccc(N)cc2C(c2ccccc2)c2cc(N)ccc21,Ki,794.33
OCCNc1cc2cc(-c3cccnc3)ccc2cn1,Ki,7943.28
O=C1NCc2c1cccc2-c1cccs1,Ki,25118.86
Cc1cccc(-c2ccc3c(c2)C(=O)NC3)c1,Ki,50118.72
NS(=O)(=O)c1cccc(Nc2ncc3ccn(-c4ccccc4)c3n2)c1,Ki,1258.93
CCOC(=O)Cc1nc2c3cc(Br)ccc3[nH]c(=O)n2n1,Ki,1000.0
Nc1ncnc2c1C(=O)Nc1ccccc1N2,Ki,50118.72
O=C1CCCc2oc3cc(C(F)(F)F)ccc3c(=O)c21,Ki,7943.28
Clc1cc2nn[nH]c2cc1Cl,Ki,7943.28
CC(C)(CO)CNc1nccc(-c2c(-c3ccc(F)cc3)nc3c(Cl)nccn23)n1,Ki,7943.28
CCc1nc2c(c3cc(OC)c(OC)cc13)C(=O)NC2=O,Ki,7943.28
COc1ccc2c(c1)C(=Cc1c[nH]cn1)C(=O)N2,Ki,7943.28
c1ccc2c(c1)Cc1c[nH]nc1-2,Ki,50118.72
Cc1ccnc(Nc2cc(C)nc(-c3ccccc3)n2)c1,Ki,1258.93
Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21,Ki,1258.93
O=CN(O)C(CS(=O)(=O)c1ccc(-c2ccc(C(F)(F)F)cc2)cc1)c1ccc(O)cc1,Ki,1258.93
Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(C#CCNS(C)(=O)=O)cnc(N)c34)cc2)c1,Ki,7943.28
Cn1cc(-c2cc3nc(Br)cnc3[nH]2)c2cc(C#N)ccc21,Ki,1258.93
Cc1cccc(NC(=O)Cc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,Ki,398.11
Cc1ccnc2[nH]c3cc(C(C)C)ccc3c(=O)c12,Ki,1258.93
Fc1ccc(-c2nc3sccn3c2-c2ccncc2)cc1,Ki,7943.28
CCCCNc1n[s+]([O-])nc1Nc1ccc(F)cc1,Ki,7943.28
NC(=O)c1cc2c(-c3ccc(Br)cc3)cncc2s1,Ki,316.23
Nc1ccc(-c2cncc(OCC(N)Cc3c[nH]c4ccccc34)c2)cc1C(=O)c1ccccc1F,Ki,7943.28
Cc1cc(NC(=O)CCNC(=O)Nc2nc(C)c(-c3ccc(-n4cccn4)cc3)s2)no1,Ki,7943.28
COc1ccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(CCO)c5)cnc(N)c34)cc2)cc1,Ki,7943.28
COc1ccc(CN(C)C)cc1Nc1nccc(-c2c(-c3cccc(NC(=O)Cc4ccccc4)c3)nc3sccn23)n1,Ki,1258.93
O=c1cc(-c2ccc(F)cc2)[nH]c2c(-c3ccc(F)cc3)cnn12,Ki,7943.28
COc1cc(C=C2SC(=O)NC2=O)ccc1O,Ki,7943.28
CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cccc(C(F)(F)F)c3)cc2)ccn1,Ki,7943.28
CC(O)Cn1cc(-c2cnc(N)c3c(-c4ccc(NC(=O)Nc5cccc(F)c5)cc4)csc23)cn1,Ki,7943.28
Cc1n[nH]c2c1C(c1ccccc1I)C(C#N)=C(N)O2,Ki,7943.28
NCCOc1cncc(C=Cc2ccncc2)c1,Ki,630.96
