canonical_smiles,standard_type,standard_value
COc1cc(OC)cc(C(=O)Nc2nc3ccccc3[nH]2)c1,IC50,15928.0
CCOc1cc(CNC(C)(C)CO)cc(Br)c1OCc1ccc(Cl)cc1Cl,IC50,11395.0
O=C(/C=C/Sc1ccccc1)c1ccc(Cl)cc1,IC50,6432.0
Cc1nc2c(cc1C(=O)/C=C/c1ccccc1)CCCC2,IC50,8621.0
N#C/C(=C\c1ccccn1)c1nc2ccccc2s1,IC50,14938.0
CCOC(=O)c1c(NC(=O)COc2ccccc2)sc2c1CC(C)(C)NC2(C)C,IC50,20058.0
NC1=NC[C@H](CC2CCCCC2)N1CCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,IC50,8623.0
Clc1ccc(-c2ccc(/C=N/c3ccc(N4CCOCC4)cc3)o2)cc1,IC50,7501.0
Cc1cc(C(=O)c2ccc(C(C)(C)C)cc2)c(NC(=O)CCl)s1,IC50,19508.0
O=C1N(c2ccc3c(c2)OCCO3)C(c2ccccc2)C1(F)F,IC50,2566.0
Cc1ccc(NC(=O)c2sc3nc(C)nc(N4CCN(c5ccccn5)CC4)c3c2C)c(C)c1,IC50,10658.0
Cc1cc(N)c2cc(NC(=O)/C=C/c3ccccc3Cl)ccc2n1,IC50,1681.0
COc1ccccc1OC(=O)CCN1c2ccccc2Sc2ccccc21,IC50,11842.0
CC(C)OC(=O)c1cc(C(=O)c2cc(Cl)ccc2O)coc1=N,IC50,28157.0
CCN1CCN(Cc2ccc(NC(=O)c3ccc(C)c(NC(=O)C(=O)c4c[nH]c5ccccc45)c3)cc2C(F)(F)F)CC1,IC50,4323.0
CCOC(=O)COc1cc(OCC(=O)OCC)c2c(=O)cc(-c3ccccc3)oc2c1,IC50,1368.0
Cl.c1ccc(-c2nc(NCCCn3ccnc3)c3oc4ccccc4c3n2)cc1,IC50,2812.0
Cc1cccc(NC(=O)c2nc[nH]c2C(=O)N[C@@H](C)C(=O)OCc2ccccc2)c1,IC50,59920.0
Cc1coc2c1C(=O)C(=O)c1c-2ccc2c1CCCC2(C)C,IC50,3228.0
O=C(CSCc1nc2ccccc2[nH]1)Nc1ccc(Oc2ccccc2)cc1,IC50,22915.0
CCC1CCCCN1C(=O)COC(=O)c1cc(Br)ccc1Cl,IC50,15168.0
COc1cnc(-c2ccccn2)nc1Oc1ccc(F)cc1F,IC50,19109.0
Cc1ccc(NCCC(=O)c2cccs2)cc1,IC50,24793.0
Cc1ccccc1-c1nc2cc(N)ccc2o1,IC50,15268.0
Cc1cccc(Cc2cnc(N3C(=N)SC(c4ccccc4)C3=O)s2)c1,IC50,8814.0
CCC(C(=O)NCCC[C@H]1CN2C(=NC[C@@H]2C2CCCCC2)N1CCc1cccc(C)c1)c1ccccc1,IC50,11145.0
COc1cccc(CNc2ccccc2O)c1OCc1ccccc1F,IC50,100000.0
O=C(COc1ccc(Cl)cc1Cl)N1CCN(C/C=C/c2ccccc2)CC1,IC50,16968.0
CCOC(=O)c1ccc(NC(=O)CCc2nc(-c3ccc(C)cc3)no2)cc1,IC50,1359.0
COc1ccc(NCC(=O)Nc2ccccc2C#N)cc1Cl,IC50,97829.0
CCCCCCCCC/C(=N\O)c1ccccn1,IC50,1554.0
CC(C)[C@H]1C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)O[C@H](C(C)C)C(=O)N1C,IC50,7262.0
CCOC(=O)c1cc(COc2cc(Cl)cc(Cl)c2)on1,IC50,3010.0
COc1ccc(C(=O)Nc2cc(OC)c(NC(=O)c3ccco3)cc2OC)cc1,IC50,2854.0
COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.Cl,IC50,13008.0
CCOC(=O)CSc1nnc(-c2ccc(Cl)cc2Cl)o1,IC50,391.0
CC(C)N1C(=O)NC(=O)C2(Cc3cc([N+](=O)[O-])ccc3N(C)C2c2ccccc2)C1=O,IC50,17845.0
CCOC(=O)c1cnc(Nc2nc3ccccc3o2)nc1C,IC50,20354.0
CCn1nnc(NC(=O)c2ccc(-c3ccc(Cl)cc3)o2)n1,IC50,19849.0
CCC(=O)Nc1ccc(-c2nc3ccccc3c(=O)o2)cc1,IC50,17968.0
Cc1cccc(Nc2nnc(SCC(=O)Nc3cccnc3Cl)s2)c1,IC50,2338.0
c1ccc(-c2nc(N3CCOCC3)c3ccccc3n2)nc1,IC50,5217.0
O=C(NCCc1nc2ccccc2[nH]1)/C(=C/c1ccc2c(c1)OCO2)NC(=O)c1ccc(Cl)cc1Cl,IC50,20556.0
CSc1ccc2c(c1)C(N1CCN(C)CC1)Cc1ccccc1S2.O=C(O)/C=C\C(=O)O,IC50,8543.0
Cl.Cl.c1ccc(CCCN2CCN(CCOC(c3ccccc3)c3ccccc3)CC2)cc1,IC50,5221.0
CCOC(=O)Cc1csc(NC(=O)c2c(O)c3ccccc3n(CCC(C)C)c2=O)n1,IC50,195.0
O=C(COC(=O)c1ccc(Cl)s1)c1ccc[nH]1,IC50,8142.0
COc1ccc(-c2nc(NC(=O)c3cc(C(C)(C)C)nn3C)sc2C)cc1,IC50,4423.0
CCOC(=O)c1ccc(NC(=O)c2nnc(O)c3ccccc23)cc1,IC50,100000.0
COc1ccc(NCc2ccc([N+](=O)[O-])s2)cc1,IC50,59381.0
COc1cccc(-c2csc(N3CCN(C(=O)NC45CC6CC(CC(C6)C4)C5)CC3)n2)c1,IC50,1088.0
COc1ccc(NCC(=O)Nc2ccc(C#N)cc2)cc1Cl,IC50,8279.0
O=C(CCl)Nc1cn(-c2ccccc2)nc1-c1ccccc1,IC50,9874.0
COc1ccc(/C=c2\s/c(=C\C(=O)C(C)(C)C)[nH]c2=O)cc1O,IC50,5616.0
CC1CC(C)(C)Nc2ccc(OC(=O)c3ccco3)cc21,IC50,15908.0
CCCCc1ccc(NC(=O)C2CCCO2)cc1,IC50,1709.0
O=C(NC1=NCCS1)c1ccc(-c2ccc(Cl)cc2)o1,IC50,28352.0
CNc1nc(-c2ccccn2)nnc1-c1ccccc1,IC50,8499.0
Cc1ccccc1-n1ncc2c([N+](=O)[O-])cc([N+](=O)[O-])cc21,IC50,2967.0
N#CC(C(=O)C12CC3CC(CC(C3)C1)C2)c1nc2ccccc2[nH]1,IC50,9796.0
COc1cccc(CNCCc2c[nH]c3ccccc23)c1OCc1ccccc1F.Cl,IC50,7079.0
CCCCCc1cc(=O)oc2c(C(CCN(CC)CC)c3ccc(N(C)C)cc3)c(OC)cc(OC)c12,IC50,4060.0
CCOC(=O)c1cccc(N/C=C/C(=O)c2ccc(OC)c(OC)c2)c1,IC50,24024.0
COCCCNC1=NN=C(c2cc(C)n(Cc3ccccc3Cl)c2C)CS1,IC50,11283.0
CCOC(=O)C(C)Sc1ncc(-c2ccc(Cl)cc2)cn1,IC50,2707.0
Cc1ccc(NC(=O)COc2ccc(-n3ccnc3)cc2)cc1Cl,IC50,3824.0
Cc1c(-c2cccc(Cl)c2)nc2ccccc2c1C(=O)OCC(=O)Nc1ccc2c(c1)OCO2,IC50,10929.0
Cc1ccc(NC(=O)COC(=O)CC2CCCC2)cc1Cl,IC50,100000.0
COCc1cc([S+]([O-])c2ccc(Cl)cc2)nc(C)n1,IC50,15103.0
O=C(NC(Nc1nc2ccc([N+](=O)[O-])cc2s1)(C(F)(F)F)C(F)(F)F)c1ccccc1Cl,IC50,2174.0
Nc1nn2c(O)c3c(nc2c1N=Nc1ccc(Cl)cc1)CCCC3,IC50,10677.0
O=C(Nc1nc2ccccc2n1CCN1CCOCC1)c1ccc(Cl)cc1,IC50,26474.0
CCOC(=O)c1ccc(-n2c(CCC(=O)O)ccc2-c2cccs2)cc1,IC50,100000.0
CC(=O)Nc1nc2ccccc2n1Cc1ccccc1,IC50,2736.0
Oc1cccc2ccc(/C=C/c3cccs3)nc12,IC50,1489.0
Cc1sc2nc(CN(C(=O)NC3CCCCC3)C3CCCC3)nc(O)c2c1C,IC50,6114.0
CCOC(=O)N1CCN=C1SCc1ccc(C(F)(F)F)cc1,IC50,100000.0
O=c1cc(C(Cl)(Cl)Cl)oc2c1ccc1ccccc12,IC50,1104.0
O=S(=O)(Nc1nc2ccccc2nc1Nc1ccc(N2CCOCC2)cc1)c1cc(Cl)ccc1Cl,IC50,100000.0
CCC(=O)Nc1nc2ccccc2n1Cc1ccccc1C,IC50,1468.0
Cc1cc(C)cc(NC(=O)c2ccc([N+](=O)[O-])o2)c1,IC50,9590.0
O=C(COc1ccc(Cl)cc1)Nc1ccc2c(c1)CCC2,IC50,12614.0
CCOC(=O)c1ccc(NC(=O)CCc2nc(-c3ccc(Cl)cc3)no2)cc1,IC50,898.0
COc1ccc(C2CC(=O)N3C(=C2C#N)SCC3(O)c2ccccc2)cc1,IC50,6999.0
CCCCOC(=O)CSc1nc(N)c(C#N)c(-c2ccc(OC)cc2)c1C#N,IC50,1138.0
CCCOC(=O)c1ccc(NC(=O)c2ccc(Br)o2)cc1,IC50,683.0
CCOC(=O)c1ccc(NC(=O)c2cc3c(s2)CCC3)cc1,IC50,4742.0
COc1ccc(CNCc2cn(-c3cccc(F)c3)nc2-c2ccc(C)o2)cc1,IC50,6123.0
COc1ccc2c(c1)CCc1c-2nc2ccccc2c1N1CCOCC1,IC50,11519.0
Cc1ccc(-c2cc(C(=O)Nc3nccs3)c3ccccc3n2)c(C)c1,IC50,9604.0
Oc1c(/C=N/c2ccc(Oc3ccccc3)cc2)cnn1-c1cccc(Cl)n1,IC50,100000.0
O=C(Nc1nnc(C2CC2)s1)c1ccccn1,IC50,2746.0
OC(CNCCc1ccc(C(F)(F)F)cc1)COc1cccc2ccccc12,IC50,5713.0
Cc1ccccc1OCc1nc(-c2ccc(NC(=O)c3cccs3)cc2)no1,IC50,4476.0
O=c1oc2ccccc2nc1/C=C(O)/C=C\c1ccccc1,IC50,4326.0
Cc1ccccc1-n1nnc2c(=O)oc3ccccc3c21,IC50,4475.0
COc1ccc(CN2C(=O)NC(=O)/C(=C/c3ccc[nH]3)C2=O)cc1,IC50,269.0
Cc1cc(NCc2ccccn2)n2ncc(-c3ccccc3)c2n1,IC50,4821.0
COc1cc(NS(=O)(=O)c2ccc(N)cc2)ncn1,IC50,6023.0
CCOc1ccc(NC(=O)CCCc2cc(-c3ccc(OCC)cc3)on2)cc1,IC50,47142.0
